epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,2,0xfdc414c57908f0e2a6a926079902d4688d553610,0.180452,1772384864,50cc7c48409e1bbdfdc09afa8accd5b6110e7f1e8d4b77c9f5a026a65c3ef271,1,0.00,1.00,1,1,1,0.024404,0.600012,Minotaur,minotaur(pow_w:0.50),0.00,0,0
0,3,0x81d019380961f92c2031b0a7fba69f7675145088,0.494753,1772384866,a161a2dbfea6940d13839237bbf1a95cb9b7494486a25b93831732511ff8295f,193,38.60,4.82,1,6,5,0.024057,0.595340,Minotaur,minotaur(pow_w:0.50),1.50,1,0
0,4,0x26d553a2f4343b3a7dc88bbd87b3d0a25d3838d9,3.219450,1772384868,ba14c14f3463a9c974ad8e37100e42ab897dabeeb61ea081b6f058a9ce0ed58c,189,94.50,3.70,1,5,4,0.023779,0.592435,Minotaur,minotaur(pow_w:0.50),1.47,2,0
1,0,0xbc3f8508d26048f2064aa8c068f4c94d08d77d18,3.068419,1772384870,0cb731287afdc693b0e28dad9a45b6cfe1153c1d0098fe857d47d7e2b7504157,207,103.50,3.75,1,5,4,0.024022,0.595239,Minotaur,minotaur(pow_w:0.50),1.42,3,0
1,1,0xac768e60b9269babb15cb1e36ee843243d7c7543,3.718318,1772384872,f2d637011463a46869fb4be78f737a2881ded13814c832a6e5ae1160b7a89691,221,73.67,4.23,1,6,4,0.024224,0.597656,Minotaur,minotaur(pow_w:0.50),2.36,4,0
1,2,0x34412315480562da4810040fd15c81f99880e1ab,1.898233,1772384874,72f536ca9361e9b8eff6f9f23126d5c3441128dfeb5413a6734bd906337b6779,250,125.00,4.04,2,6,4,0.024531,0.600691,Minotaur,minotaur(pow_w:0.50),2.14,5,0
1,3,0x8719ca31b72ae8a5404006763c53d5ad503dbcb0,0.116985,1772384877,05249a2f388a810c8e2ae49129e57a2fcc2a4930726244184e84e9c21c411afe,146,73.00,4.02,1,6,4,0.024498,0.601591,Minotaur,minotaur(pow_w:0.50),1.67,6,0
1,4,0x1796dc61e715f15a2d27dfa32bd34780f12a8c24,1.724381,1772384878,7abeb83642ce65183f8278c4faaa4a2bad2e74c3f79f86bb38debbdd55654c75,228,114.00,4.18,1,6,4,0.024150,0.596356,Minotaur,minotaur(pow_w:0.50),1.61,7,0
2,0,0x606627477c3734932f47972f83c27cf4e3b35b4f,3.377647,1772384880,ad8b25b1be1c78fd716354070ff95581e2551fe7141282510da2319c9178a9a7,101,101.00,3.35,2,5,3,0.024086,0.596831,Minotaur,minotaur(pow_w:0.50),1.08,8,0
2,1,0xb990cdf21950e6086c350175c4bc504e45858230,0.122758,1772384882,680db3199f02e1484abf5d3eef34c25f6505b2cb84e169f71690a8ce7849d30f,214,107.00,3.63,1,5,4,0.024301,0.599203,Minotaur,minotaur(pow_w:0.50),1.56,9,0
2,2,0xfdc414c57908f0e2a6a926079902d4688d553610,1.182172,1772384884,9c868e3cfc992cb8623b3c217bf82d570e5d44cf6b04e04311ee6ea21472980d,196,98.00,4.05,1,5,4,0.023964,0.594005,Minotaur,minotaur(pow_w:0.50),1.39,10,0
2,3,0xb7b4ee0a72bc410bf6d32b9cd3f3e11fc756d6f1,0.083489,1772384886,fd52b843f3279ca25c96c4d724a2f30498822f204bba6f49b5cb14ad0a3fe7a0,208,104.00,4.79,1,6,5,0.023807,0.593368,Minotaur,minotaur(pow_w:0.50),1.50,11,0
