epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,2,0x07902d0371763a00d97ed9ba16ff0a206cb0fd19,2.532249,1772369477,d84559be1b64038357aa4c751307d9032a0e546ac0a7622ef9b78868070f320a,1,0.00,1.00,1,1,1,0.024404,0.600013,POS,pos,0.00,0,0
0,3,0x606627477c3734932f47972f83c27cf4e3b35b4f,3.377817,1772369479,5dce600b7dfb25bfd927e663f7da681fa8273c13163b4aaf661a753fcbc401d1,210,42.00,2.73,1,4,3,0.024519,0.601942,POS,pos,1.50,1,0
0,4,0xe6ebb0cdfd04183d498964e5efc4096ba77b17d6,4.294523,1772369481,705482bf6c4fd377e24477dfdeb8d24d3bf9d17d2f7bbd64234bd8ce8538fefd,188,94.00,3.81,1,5,4,0.024788,0.604829,POS,pos,1.48,2,0
1,0,0xc4dc29db975b952e04358340e56b68fa4ba63fbc,0.544561,1772369483,a7fb505981445d48fa69f79596278fed950d9ac09280f9dc655afd5b520afc08,213,106.50,4.15,1,6,4,0.025214,0.608449,POS,pos,1.50,3,0
1,1,0xf6e059718dbd0a0956726ab97d06bad5efc6cd18,1.016747,1772369485,0ca6816c4849b9126fee64643e26d98d55cdecf3430f6a2aff1fc1173baac294,208,104.00,3.70,1,5,4,0.024925,0.605819,POS,pos,1.51,4,0
1,2,0x95ab54d268473cce82094026afefdbd5cadf418b,0.599488,1772369487,e92e6254119bdb1cb5a725021e494324cb809fdc67bc87004db4f2b47d7a7740,222,111.00,3.76,1,6,4,0.024728,0.604712,POS,pos,1.53,5,0
1,3,0xdcf2130496e27a8094ab996aea4aa77788d65869,4.505717,1772369489,18341cb5eb73daddfba68f4c284975d0c700f81164aa43120a6525a9df4db3ad,181,90.50,4.51,1,6,5,0.024460,0.602100,POS,pos,1.49,6,0
1,4,0x89100a8056319ba37491b32ba255004180607bc2,2.787357,1772369491,2348e53d843c8381c1f1283f492df0653411a54dbc5136c5f85bea0933674dea,194,97.00,3.87,1,5,4,0.024881,0.605555,POS,pos,1.47,7,0
2,0,0xac768e60b9269babb15cb1e36ee843243d7c7543,3.718248,1772369493,a1b22c81eb8a4003c61ff6b9398e10982e7213014ac7548d70f0c0ca008993f3,204,102.00,3.89,1,6,4,0.024987,0.607411,POS,pos,1.43,8,0
2,1,0x687bf2437a044a3e42ff2f8a79a8e54ba9601f70,1.066759,1772369495,c7f1352e9907499f343edae23ef3e9e4c4361c4a28733196a8891e5a1e288522,193,96.50,3.93,1,5,4,0.025241,0.610151,POS,pos,1.42,9,0
