epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,1,0xcb7977f4997b4252c0152e135dd79b3cfe35c1a5,0.629073,1772374524,2b49acf3e724fd2d146625e8bfbbb637be1afa1cf8f90ac05abd7071a51644eb,1,0.00,1.00,1,1,1,0.443078,0.607502,pow,pow(difficulty=20_work_amount=1048576),0.00,0,0
0,2,0xa3786e459f289a76c0e8af8ad834e3d0c6d47199,4.727413,1772374530,a80efec5ef38511c654d41965f664c64185a17a2ced0d5dd0964c033bd825251,250,27.78,4.21,1,6,4,0.024406,0.600043,pow,pow(difficulty=20_work_amount=1048576),5.26,1,0
0,3,0xb2a7fe70a6f3137d38f6cb4c3ec6dd1e24f2d5f4,1.422978,1772374532,76d3d0964ecbe63d2843ebeb46fd01e800d1cf34ea2c0c9c4a9bfe20eb6506d4,250,41.67,4.28,1,6,4,0.024683,0.601651,pow,pow(difficulty=20_work_amount=1048576),5.91,2,0
0,4,0xac768e60b9269babb15cb1e36ee843243d7c7543,3.718288,1772374534,a025d3f976bd746d755a80ed69ae4b63fa7b642dec2fc6fb31a17651ce00152b,130,65.00,4.34,1,6,4,0.024570,0.601618,pow,pow(difficulty=20_work_amount=1048576),2.39,3,0
1,0,0x63f4973c0df8a5358405f396dc0673a463c48de9,3.901077,1772374536,144a9e6604b491548909ccda7c62d863a920d74cb5efc688a3d5e67ecb2c4462,196,65.33,4.01,1,6,4,0.024881,0.604810,pow,pow(difficulty=19_work_amount=524288),2.45,4,0
1,1,0x30509a8084fdfe6fe24d9c9a817c209ad194f8e3,2.656639,1772374539,17229d5283eddede2c4bde1851a0d2acb23090f5909dd123be178dcfc14fac03,227,113.50,3.54,1,5,4,0.025209,0.607923,pow,pow(difficulty=19_work_amount=524288),2.12,5,0
1,2,0xe478b1e4d1538274c0c70cbd7df877f9abab2f62,2.300146,1772374541,a80d4b85ef30d01879a0fa6a123682fd941bad8f9c7f5ea326f5d02896c07c79,210,105.00,3.39,1,5,3,0.025298,0.609847,pow,pow(difficulty=19_work_amount=524288),1.80,6,0
1,3,0x63f4973c0df8a5358405f396dc0673a463c48de9,4.903287,1772374543,5432764feb81f4a278d177e9a63313dbd087adf583f01c95ec449bd772b33a07,210,105.00,4.13,2,5,4,0.025318,0.611121,pow,pow(difficulty=19_work_amount=524288),1.60,7,0
1,4,0xb2a7fe70a6f3137d38f6cb4c3ec6dd1e24f2d5f4,2.424148,1772374545,87bb44a869a62bf6b80b606571ff49117fdbead6f6a5895a97246cae110c4ff2,229,114.50,3.63,1,5,4,0.025779,0.614496,pow,pow(difficulty=19_work_amount=524288),1.47,8,0
2,0,0xdcf2130496e27a8094ab996aea4aa77788d65869,4.505507,1772374547,534b66757586e1d2b09398ffd7503606c61ddf35b330e3cb697cfc1dae54d132,214,71.33,4.23,1,6,4,0.025802,0.615720,pow,pow(difficulty=20_work_amount=1048576),2.49,9,0
