epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,2,0xd1cd4b808ce6b2841ad42746b64c5a047e857ef0,0.240744,1772364436,e4b4b9fe4bb7376e1a1f7d3f98ac4392a07cf7b285847580a5a6b4894911eb15,1,0.00,1.00,1,1,1,0.024404,0.600013,TopoStake,pog(D=0_omega=1.00),0.00,0,0
0,3,0x311eb133eb413ac3f21249889bb101e5d40820ce,0.135239,1772364438,3484700b4bdab43698d1a74f6d456d4e4ab68c5dcaa316c42c5f704ed0648480,201,40.20,4.02,1,6,4,0.024070,0.595782,TopoStake,pog(D=0_omega=1.00),1.45,1,0
0,4,0xd46407aa7b668c72de3cf1c1a12b7fa2e308a1b2,1.991734,1772364440,7e8c53aa17158dbdad948c7e30c867ac0c64faaa836a1bf68db29961870b7b31,224,74.67,3.67,1,5,4,0.023722,0.590645,TopoStake,pog(D=0_omega=1.00),2.49,2,0
1,0,0x016d3fc36beee7caa8fbd6c1caa42461dd7f9850,0.880532,1772364442,14b95e91145d1442b69ba482366b04689b124a4de06589ddfd28f68a0f51ee0a,196,196.00,3.87,1,5,4,0.023734,0.591817,TopoStake,pog(D=1_omega=1.00),1.47,3,0
1,1,0x8c11ec9090dd820c076e57e899d9c604c79d6b32,1.566521,1772364444,3fe0cd8a49b995eabee0a3504a461964649ed4dab115334214bae07d37176236,186,62.00,3.11,1,4,3,0.023535,0.590418,TopoStake,pog(D=1_omega=1.00),2.48,4,0
1,2,0xac61c91e7d24df824351a6c4e562a75f0cf646f8,0.252533,1772364446,56a3d19877566d35c7975a4f15829cfceefc31da21ba0ccb918aecc17a763acf,218,109.00,4.26,1,6,4,0.023464,0.590642,TopoStake,pog(D=1_omega=1.00),2.46,5,0
1,3,0x95ab54d268473cce82094026afefdbd5cadf418b,0.599508,1772364448,107e256bc2a496941159038c2f89cb59f3596bea6c8198784abfa128dba5c1d7,225,112.50,3.98,1,6,4,0.023157,0.586337,TopoStake,pog(D=1_omega=1.00),2.48,6,0
1,4,0x07902d0371763a00d97ed9ba16ff0a206cb0fd19,2.533104,1772364450,67ec7481b2cdc3d2dafedd62c273dec60851963bdedd264263ae5d5396df86a1,184,92.00,4.42,1,6,5,0.022919,0.583721,TopoStake,pog(D=1_omega=1.00),2.48,7,0
2,0,0x786f26993bf015cd2da6fb5d3ccd1879e01246ab,0.291598,1772364452,8f80bec7c91134056e160f464254f3b76f2ddfc172000e8c9db5880f7ab15d95,245,122.50,2.64,1,4,3,0.023017,0.585576,TopoStake,pog(D=2_omega=1.00),2.31,8,0
2,1,0xd1cd4b808ce6b2841ad42746b64c5a047e857ef0,1.240764,1772364454,d4a490ce38992c854599c305b4a37df1014ad92bb80c9b0fd1f1e47d5222afbb,176,88.00,3.96,1,5,4,0.022730,0.581371,TopoStake,pog(D=2_omega=1.00),2.39,9,0
2,2,0x311eb133eb413ac3f21249889bb101e5d40820ce,1.135182,1772364456,8cec71e9f422485c7c979797f207f0fdfc2e6a6c62c86ca4770a5afaf818b501,216,108.00,3.86,1,6,4,0.022606,0.580805,TopoStake,pog(D=2_omega=1.00),2.41,10,0
2,3,0x269cdf52f97e1d9f14b7be895155a7b294f0b21d,0.726555,1772364458,f2400a8de5a7ddb6ab63fa9f25a11beab09f1c54b132c09abc7075a6e1470563,226,113.00,3.58,1,5,4,0.022466,0.579788,TopoStake,pog(D=2_omega=1.00),2.16,11,0
