epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,2,0xdcf2130496e27a8094ab996aea4aa77788d65869,4.505817,1773021976,3da63d101cbfc7a29d732969ce204c32dd8fe1f1de432c8ced566ff4ba4846d9,1,0.00,1.00,1,1,1,0.024404,0.600011,TopoStake,pog(D=0_omega=0.50),0.00,0,0
0,3,0xa447d277b02012c2afd9ddcbbe123f27cc971963,1.809313,1773021978,9b2fe6fa990ce8097f83fc4166621ba22f11e59a83d9f6a7254999316d17c9ec,195,39.00,3.95,1,5,4,0.024905,0.603840,TopoStake,pog(D=0_omega=0.50),1.50,1,0
0,4,0x016d3fc36beee7caa8fbd6c1caa42461dd7f9850,0.880390,1773021980,f8e66af978ad0bb849186bda993c9dd51bde61ef7aeb394e0b1a6a481417380a,200,100.00,3.46,1,5,4,0.024864,0.604587,TopoStake,pog(D=0_omega=0.50),1.52,2,0
1,0,0xa068e3c9a21c8d8be636cd2d285895979ec3262e,0.969088,1773021982,bf4e2099d113e13e72e2055940d51a7d76539bb8245a68a0f4a3cd808a55c9e3,191,95.50,3.14,1,4,3,0.024644,0.603157,TopoStake,pog(D=1_omega=0.50),1.51,3,0
1,1,0xd1cd4b808ce6b2841ad42746b64c5a047e857ef0,0.240734,1773021984,bdd2744acfcf66c35e6ff7af1ee92318ec25dc44acae91acfe3568138b9be195,218,109.00,4.28,1,6,4,0.024445,0.601822,TopoStake,pog(D=1_omega=0.50),1.49,4,0
1,2,0x30405867b72597aaeb27803bb2c7f3f5fc7d5384,0.519034,1773021986,3a810d10ada90f6b2dc3543ad921861155257e8971ce37ed550d9e029b830e5b,198,99.00,3.92,1,6,4,0.024116,0.597605,TopoStake,pog(D=1_omega=0.50),1.54,5,0
1,3,0x719361397abe003a91af76243e5f9c7a0cd4279f,3.544235,1773021988,ea32aa8b67bd8d8148915234521d2f7f04c93577439fc5a6a8251d2245d17c19,221,110.50,3.52,1,5,4,0.023845,0.594661,TopoStake,pog(D=1_omega=0.50),1.45,6,0
1,4,0xd1cd4b808ce6b2841ad42746b64c5a047e857ef0,1.240758,1773021990,3ba879834b981ae2976ba057d8b0072e327616bf5ae8dc00f780c79febf85436,186,93.00,3.74,1,5,4,0.024108,0.597652,TopoStake,pog(D=1_omega=0.50),1.48,7,0
2,0,0xac768e60b9269babb15cb1e36ee843243d7c7543,3.718574,1773021992,35409d1a0a84bb1cf5adb6eb71c8da1b672c032649629d1357ec332d81834837,225,112.50,3.84,1,6,4,0.023963,0.596911,TopoStake,pog(D=2_omega=0.50),1.46,8,0
2,1,0x6064b9f5883bf9737dfe314ff68c56e09e68ac89,2.192520,1773021994,a0159ab0a5c2714643e00107ca4a69de7a8544c265bbd8decaaa800f773014fc,203,101.50,3.97,1,6,4,0.024236,0.599803,TopoStake,pog(D=2_omega=0.50),1.51,9,0
2,2,0x63f4973c0df8a5358405f396dc0673a463c48de9,3.901498,1773021996,5e11081e94ffca3b2afa49fe302064eba667df721ae551e14f7977d9348f693b,229,114.50,3.87,1,5,4,0.024243,0.600994,TopoStake,pog(D=2_omega=0.50),1.43,10,0
2,3,0x6064b9f5883bf9737dfe314ff68c56e09e68ac89,3.193080,1773021998,b1fe0145ed58c08f4ca63ccd9e5431372253e759568c0f97388f999b5c0885c5,212,106.00,3.57,1,5,4,0.024523,0.603813,TopoStake,pog(D=2_omega=0.50),1.48,11,0
2,4,0xb7b4ee0a72bc410bf6d32b9cd3f3e11fc756d6f1,0.083378,1773022000,c104dea87e777c1dfcce0ba0718d7bfc8ae68d68f2b635e08335fb66ba8b6888,185,92.50,3.85,1,5,4,0.024676,0.606000,TopoStake,pog(D=2_omega=0.50),1.37,12,0
3,0,0x4414c05be2cf328f38d2e3ef4b705d6b894f044a,2.089681,1773022002,8cd75855902b4ae85fa0640ce746839164dbd0607038c0a001ad479bf9661d0f,201,100.50,3.87,1,6,4,0.024333,0.600685,TopoStake,pog(D=3_omega=0.50),1.42,13,0
3,1,0x07902d0371763a00d97ed9ba16ff0a206cb0fd19,2.533366,1773022004,6695c5bb6d2982bbe7500e20f5c9949bc779145a12b9bbefebbc8b73f6f8eae2,215,107.50,3.83,1,5,4,0.024307,0.601492,TopoStake,pog(D=3_omega=0.50),1.37,14,0
3,2,0x34412315480562da4810040fd15c81f99880e1ab,1.898372,1773022006,4c1f908ad1c3824bdd9d96e1aef4e73085046fce5b400b95c93b094f28606a29,250,125.00,2.77,1,4,3,0.024345,0.602852,TopoStake,pog(D=3_omega=0.50),1.03,15,0
3,3,0x269cdf52f97e1d9f14b7be895155a7b294f0b21d,0.726495,1773022008,d71c1dcd4d1fac7431eabd5bc11447bebb550745360acbe8261ef4aa58060fc3,161,80.50,3.82,1,6,4,0.024284,0.603099,TopoStake,pog(D=3_omega=0.50),0.83,16,0
3,4,0xaadc5fea232580cb8fba739ac5d05a48559c7e52,1.356267,1773022010,514c255e136671cba65a17549133ee99123c804cca9566836966c27df5dfcf56,222,111.00,3.61,1,5,4,0.024050,0.600779,TopoStake,pog(D=3_omega=0.50),0.98,17,0
4,0,0xd1cd4b808ce6b2841ad42746b64c5a047e857ef0,2.240799,1773022012,fc6a6a4be1f8f7654da2ce95355d6dd97cabd850cfd9dfc2b473c63b66840176,176,88.00,4.13,1,6,4,0.023912,0.599985,TopoStake,pog(D=3_omega=0.50),1.06,18,0
4,1,0x58a21eeb7ab18ba8adf1296e66a4487076e95dac,4.093658,1773022014,2d496be90a2714bbb7a1a251926a55a347adaae86b1725f9e69ad70afb280ddb,250,125.00,3.85,1,6,4,0.023899,0.600604,TopoStake,pog(D=3_omega=0.50),1.05,19,0
4,2,0x6414c6a8400ff3419cd81855d09de2848d770e0e,0.155796,1773022016,ab97df0a24d4d71dd8843b31cd18a9f64dc8b7da455a7fa505cef8b5220d7fb1,242,121.00,3.98,1,5,4,0.024141,0.603225,TopoStake,pog(D=3_omega=0.50),0.77,20,0
4,3,0xea287b266dbe2c2d402fd91814bcfc4c95d6b0fd,0.163593,1773022018,c0c561d6bd2abbc88149f14d5c1c1609074df80eb328b658c4bc3cf234d0d296,186,93.00,3.92,1,5,4,0.023833,0.598573,TopoStake,pog(D=3_omega=0.50),0.58,21,0
4,4,0x719361397abe003a91af76243e5f9c7a0cd4279f,4.544627,1773022020,762b9b3853e817668e1a9fc7dc1c122b87740b4b159378cf9f8572716cc983aa,187,93.50,4.06,2,6,4,0.023534,0.593882,TopoStake,pog(D=3_omega=0.50),0.67,22,0
5,0,0xaadc5fea232580cb8fba739ac5d05a48559c7e52,2.356985,1773022022,2d67681402d052466e23960e305e8e1fb9dbd1a933dc18043b901256fdeab826,200,100.00,3.78,1,5,4,0.023820,0.596752,TopoStake,pog(D=3_omega=0.50),0.52,23,0
5,1,0xa7e4d4d949807065ebf85adc1be8c382c7236c15,0.218344,1773022024,d5fa0be6c50ce3f4672c282ab722624e66b980cd668057b858f52422d27d2bd6,194,64.67,4.32,1,6,4,0.023810,0.597427,TopoStake,pog(D=3_omega=0.50),1.54,24,0
5,2,0x58a21eeb7ab18ba8adf1296e66a4487076e95dac,5.094891,1773022026,17b37e11ab9d9f205733304621c95269f87365804833df449563a3d43174dc2e,206,103.00,3.94,1,6,4,0.023522,0.593014,TopoStake,pog(D=3_omega=0.50),1.53,25,0
5,3,0xb2a7fe70a6f3137d38f6cb4c3ec6dd1e24f2d5f4,1.423099,1773022028,6b8a0683c98be5e3af51e0d6934802aba8d7c9dd8bb517071587e0de063b7c7a,199,99.50,4.01,2,5,4,0.023522,0.593019,TopoStake,pog(D=3_omega=0.50),1.44,26,0
