epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,2,0x4414c05be2cf328f38d2e3ef4b705d6b894f044a,2.089649,1772342543,894dd97ec6e7cd650237faada66aebe8b4022202b81f5e50282393cf1d16eb88,1,-2.0,1.0,1,1,1,0.024405,0.600018,Minotaur,minotaur(pow_w:0.50),0.0,0,0
0,3,0xdcf2130496e27a8094ab996aea4aa77788d65869,4.505787,1772342545,e522c06bb60b09dc1b3c6f8a53a1771d198686ce3915013970c606f8e63e765c,216,41.2,3.32,1,5,3,0.024432,0.601289,Minotaur,minotaur(pow_w:0.50),1.51,1,0
0,4,0x075e1d95c7891e1c00414ca1aa9a7a8cf6270019,0.141885,1772342547,1aee513701b13512a3a95b72304e08002b5d8d262597560f3b97080171979735,216,106.0,3.24,1,5,3,0.02492,0.605078,Minotaur,minotaur(pow_w:0.50),1.5,2,0
1,0,0xc24b36dee27726233c3bbd9e1f028f98b6b2a424,2.413479,1772342549,c4ba690f6981cbf38fd40c08044587827300ff0a59bc9861c90b3a8426ed2f84,239,77.67,3.0,1,4,3,0.024559,0.600133,Minotaur,minotaur(pow_w:0.50),2.08,3,0
1,1,0xeb82a21cb3d0dd781eb22ad74bb7cd9b4d2a06ec,2.924555,1772342552,de85d348f64d54b9129dc3d03431f7ebacc643a845320e65919d91a22e3a9392,231,113.5,3.15,1,4,3,0.024629,0.601713,Minotaur,minotaur(pow_w:0.50),1.86,4,0
1,2,0x606627477c3734932f47972f83c27cf4e3b35b4f,3.377707,1772342553,d5d0a17e2d552f4ff4bee719cbc64b26532ec41ac807761c12ee4250c5e4bafa,183,89.5,3.2,1,4,3,0.024784,0.603911,Minotaur,minotaur(pow_w:0.50),1.57,5,0
1,3,0x63f4973c0df8a5358405f396dc0673a463c48de9,3.901197,1772342555,03b6fa990a5613dd60149bbd98ae355bfb920c1569dac83dbc9222705d8921be,117,115.0,3.34,1,5,3,0.02501,0.606578,Minotaur,minotaur(pow_w:0.50),1.0,6,0
1,4,0x34412315480562da4810040fd15c81f99880e1ab,1.898093,1772342557,ca56066a764786264ba329e01c87848e0c86d55b06a0f125f39cdf456d0a3cfd,185,90.5,3.5,1,5,4,0.025314,0.609634,Minotaur,minotaur(pow_w:0.50),1.46,7,0
2,0,0xac768e60b9269babb15cb1e36ee843243d7c7543,3.718208,1772342559,a9636f15f54f076c8e9652bd7faa73afb3e1e4dc39850df0437051ee01cab836,176,86.0,3.24,1,4,3,0.02526,0.610193,Minotaur,minotaur(pow_w:0.50),1.52,8,0
2,1,0x3513d672439a59c26cc5711f2b715ccb4810a774,1.292625,1772342561,39147e0db63f7dc72b8fd4215596744c0b08e08d2c8a44c43fef17eab955d9bf,199,97.5,2.96,1,4,3,0.02551,0.612816,Minotaur,minotaur(pow_w:0.50),1.52,9,0
2,2,0x30509a8084fdfe6fe24d9c9a817c209ad194f8e3,2.656619,1772342563,e134e268491144dc40f6eefb889138954826cd9663f0cdaa0b6cde458df78528,215,69.67,3.31,1,4,3,0.025345,0.612336,Minotaur,minotaur(pow_w:0.50),2.26,10,0
2,3,0x34d94cc0534eb50dec7956bea31407428d6d5ef8,0.087587,1772342566,d6dd9ae89d8d5307782b378bc7098bb618a3ee5f05a95c33f39d9e0ce0b2cdcb,250,123.0,3.06,1,4,3,0.025404,0.613696,Minotaur,minotaur(pow_w:0.50),2.15,11,0
2,4,0x075e1d95c7891e1c00414ca1aa9a7a8cf6270019,1.144175,1772342567,07e391d86f776c7a33f44be7314582b53ac711cd2108a78dbc0d017cc49c6481,250,123.0,3.24,1,4,3,0.025404,0.613702,Minotaur,minotaur(pow_w:0.50),1.8,12,0
3,0,0x6064b9f5883bf9737dfe314ff68c56e09e68ac89,2.192209,1772342569,babbf0bdf397d3598f8d1ea4368ea32437d0c202874d63dbe0ecf58032f6986d,25,23.0,2.44,2,4,2,0.025215,0.612793,Minotaur,minotaur(pow_w:0.50),1.36,13,0
3,1,0xbc3f8508d26048f2064aa8c068f4c94d08d77d18,3.068179,1772342571,972c49a1d2097c6fa8837c8f19349d788d8677776ab20b54f079edb7ea295cc1,202,99.0,3.3,2,4,3,0.025193,0.613378,Minotaur,minotaur(pow_w:0.50),1.51,14,0
3,2,0xeaa5003682d7289190651081ae2bee847097afc5,0.762035,1772342573,1023acc8c006a71e25ade147eb113c7a4045fa6ae8c11310e2bf6f64977041ec,208,102.0,2.98,1,4,3,0.025303,0.615023,Minotaur,minotaur(pow_w:0.50),1.5,15,0
3,3,0x34d94cc0534eb50dec7956bea31407428d6d5ef8,0.087457,1772342575,0a3d63b862d828ea8cca947804e716cb0c04a3e36a8a4a08205e2e8334eef731,239,77.67,3.21,1,4,3,0.025056,0.613069,Minotaur,minotaur(pow_w:0.50),2.43,16,0
3,4,0x687bf2437a044a3e42ff2f8a79a8e54ba9601f70,1.066499,1772342578,552ed3a5c83511fdaf9edbbded790c0dfdea19aa16ffaa5ce8578053d555a496,240,118.0,3.36,1,4,3,0.024713,0.607945,Minotaur,minotaur(pow_w:0.50),1.98,17,0
4,0,0xac768e60b9269babb15cb1e36ee843243d7c7543,4.719938,1772342579,e96c9c4aebe9a432e1a854ec43da7f7a34b19e42539882c5e7d60dd76a79cd73,210,103.0,3.12,2,4,3,0.024521,0.606683,Minotaur,minotaur(pow_w:0.50),1.56,18,0
4,1,0x49b57eb4dace37c8819daf079c9c674f766d4f38,1.23169,1772342581,4d0ea9b811be1a50adfa12fa3e7dd19382102f9cc0ccba81187b36a594b87e71,114,112.0,2.99,1,4,3,0.024858,0.60978,Minotaur,minotaur(pow_w:0.50),1.0,19,0
4,2,0xb2a7fe70a6f3137d38f6cb4c3ec6dd1e24f2d5f4,1.422688,1772342583,7133db918231f3bec3c80e3d7c142465823aa32d267d1967e665e393906937a6,214,105.0,3.36,1,5,3,0.024687,0.60871,Minotaur,minotaur(pow_w:0.50),1.55,20,0
4,3,0x7e40df5d801345015e84c843908efc6683665fa4,0.659519,1772342585,e82b09271ecffaf8536a80be505ab750e97a7d2398d90938474da2a6568f78c7,195,95.5,3.22,1,5,3,0.024545,0.607904,Minotaur,minotaur(pow_w:0.50),1.5,21,0
4,4,0x95ab54d268473cce82094026afefdbd5cadf418b,0.598958,1772342587,62b7fda9b675bfda33e10d7d6e65d79175470c85db40acaad74dfca8993bd486,201,98.5,3.15,2,4,3,0.0243,0.60539,Minotaur,minotaur(pow_w:0.50),1.51,22,0
