epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,2,0xa3786e459f289a76c0e8af8ad834e3d0c6d47199,4.727453,1772341526,180bc6dbf8b7bd3d08edefcd4b16d26340c42a5526877e29d4b0f3602fd6867a,1,0.00,1.00,1,1,1,0.024405,0.600017,Minotaur,minotaur(pow_w:0.50),0.00,0,0
0,3,0x58a21eeb7ab18ba8adf1296e66a4487076e95dac,4.093164,1772341528,fe1d875aeff63220eee172cef25a681519e1a99b48121e4c7b8f09a557e09460,216,43.20,5.84,1,9,6,0.024950,0.603898,Minotaur,minotaur(pow_w:0.50),1.51,1,0
0,4,0x07902d0371763a00d97ed9ba16ff0a206cb0fd19,2.532189,1772341530,4d6bb6691c4e6d3cdf7532552455f2e3896a2ebe395e5cbbd4e5d4e67e1192de,192,96.00,6.91,1,11,7,0.025348,0.607387,Minotaur,minotaur(pow_w:0.50),1.50,2,0
1,0,0x63f4973c0df8a5358405f396dc0673a463c48de9,3.901207,1772341532,d25e437c82d6260e50222998a15c3c9a6a2dd5b88451401bdc21d61986d92fc1,225,112.50,6.40,1,10,7,0.025431,0.609208,Minotaur,minotaur(pow_w:0.50),1.35,3,0
1,1,0x63f4973c0df8a5358405f396dc0673a463c48de9,4.903637,1772341534,4c1010f211dd05d0712b3b92060d7d346aa4b0d3cfb0a93b70371683f962f9d3,244,81.33,5.71,1,10,6,0.025760,0.612312,Minotaur,minotaur(pow_w:0.50),2.25,4,0
1,2,0xd61b00c297972877b45f8d7f4d67fdaf20c67c59,0.336821,1772341536,6f523a49a130f2ff85e81f818842d64ceab77567cde3e9e3f890788a6aef849f,139,139.00,5.99,1,10,6,0.026253,0.615733,Minotaur,minotaur(pow_w:0.50),0.89,5,0
1,3,0x8c11ec9090dd820c076e57e899d9c604c79d6b32,1.566399,1772341539,2f9b6d0d6cabfd9718bccc5ac2e33496445f774e5613bd4f8ed44f4bb86b4b1a,222,74.00,6.09,1,11,6,0.025909,0.612111,Minotaur,minotaur(pow_w:0.50),1.77,6,0
1,4,0xac768e60b9269babb15cb1e36ee843243d7c7543,3.718168,1772341540,e2e757901cc3661557e5edf72ef4678567db7c9fa3d3cd397ae963b564634a4d,207,103.50,5.49,1,8,6,0.025788,0.612292,Minotaur,minotaur(pow_w:0.50),1.58,7,0
2,0,0xa3786e459f289a76c0e8af8ad834e3d0c6d47199,5.729423,1772341542,f4336c1d660e95bde592654c3d5d6fe4aac7a47a930ef911ea77406fbe6eda9c,96,96.00,6.10,1,9,6,0.026037,0.614996,Minotaur,minotaur(pow_w:0.50),1.00,8,0
2,1,0xe6ebb0cdfd04183d498964e5efc4096ba77b17d6,4.294423,1772341544,4ffa4c26e768fc9ed99dd709a2192e0f6abfce6d9364ecc20f414ab30f38264c,207,103.50,5.80,1,9,6,0.026613,0.618430,Minotaur,minotaur(pow_w:0.50),1.43,9,0
