epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,2,0xb2a7fe70a6f3137d38f6cb4c3ec6dd1e24f2d5f4,1.423058,1772471886,18df38b8a2e2bf947a139e7d3fd92ef0b80daf7dbdd324e8443633f8d186b50d,1,0.00,1.00,1,1,1,0.024405,0.600029,Minotaur,minotaur(pow_w:0.50),0.00,0,0
0,3,0x34412315480562da4810040fd15c81f99880e1ab,1.898313,1772471888,ee11c180f8923db6a05fe855f643986b98c1005e5832a19dfb19260caf0743e5,318,53.00,4.26,1,6,4,0.024302,0.600056,Minotaur,minotaur(pow_w:0.50),2.50,1,0
0,4,0x34412315480562da4810040fd15c81f99880e1ab,2.901143,1772471890,5d070358bf41f38292bdc22476dc46143b9384c71b580d08b9508829a874b85d,284,142.00,4.04,1,6,4,0.024290,0.600901,Minotaur,minotaur(pow_w:0.50),2.51,2,0
1,0,0x63f4973c0df8a5358405f396dc0673a463c48de9,3.901187,1772471892,c101caccbf552c8fe13740598b6c4fbfd579151239b336c1009d162b1803f39f,316,158.00,4.06,1,6,4,0.024463,0.603260,Minotaur,minotaur(pow_w:0.50),2.50,3,0
1,1,0x60705151f1f537cacd5b801f3ef1b31dc3f605de,0.305914,1772471894,55c0ba87543d807531295335b65808b0470f5d7d171fb78b4dc25dc8488cf456,272,136.00,3.64,1,6,4,0.024811,0.606618,Minotaur,minotaur(pow_w:0.50),2.50,4,0
1,2,0x606627477c3734932f47972f83c27cf4e3b35b4f,3.377667,1772471897,405e49a83baf96d87a61c32944f28d7554c7d4b5342eea5830a0dca7d1bc99a1,284,142.00,4.19,1,6,4,0.024487,0.602881,Minotaur,minotaur(pow_w:0.50),2.49,5,0
1,3,0xdcf2130496e27a8094ab996aea4aa77788d65869,4.505637,1772471899,2b3ad15652da7f55615008566ccba18e36982fe5d00ee8310174a28a25d84748,321,160.50,3.68,1,5,4,0.024719,0.605489,Minotaur,minotaur(pow_w:0.50),2.44,6,0
1,4,0xac768e60b9269babb15cb1e36ee843243d7c7543,3.718078,1772471901,f32589337f304dfa4f52a91988614708ba899470e6b6eef5fdb82cf706ce514e,273,136.50,4.00,1,6,4,0.025136,0.608992,Minotaur,minotaur(pow_w:0.50),2.50,7,0
2,0,0x719361397abe003a91af76243e5f9c7a0cd4279f,3.543806,1772471903,98929edbb76e8f19c2068c68d365725483b97b8ddad0fbe6849a80212e6cb277,290,145.00,3.99,1,6,4,0.025398,0.611657,Minotaur,minotaur(pow_w:0.50),2.44,8,0
2,1,0xcdc82b7c868072205a399d0f68e6e3ad3bfd1ca6,0.208181,1772471905,2498917cb92f65dc4a9d0f69c201bf59067a3e224d7b81f211128692a94162ef,278,139.00,3.90,1,5,4,0.025616,0.613961,Minotaur,minotaur(pow_w:0.50),2.39,9,0
2,2,0xa3786e459f289a76c0e8af8ad834e3d0c6d47199,4.727093,1772471907,c8f2794c9e4088b7642f39c814497c281f0273f13de733de12fddfe005536dfa,337,168.50,3.65,1,6,4,0.025270,0.609571,Minotaur,minotaur(pow_w:0.50),2.28,10,0
2,3,0x07902d0371763a00d97ed9ba16ff0a206cb0fd19,2.531829,1772471909,ec5e6074fbe93cdc27886bf2b8afbf9433897f6e8253816cdfecaee1a6f54ed2,193,96.50,4.32,2,6,4,0.025667,0.612848,Minotaur,minotaur(pow_w:0.50),2.44,11,0
2,4,0x4ba33404d90c4ae989714d9d174cd882cffb7994,1.118982,1772471911,dff9cf4f62d0c0f9231fd744ee8059fe1ffb66a5b611fd563840dd279ada6fc4,375,125.00,2.75,1,4,3,0.025695,0.614274,Minotaur,minotaur(pow_w:0.50),3.04,12,0
3,0,0x606627477c3734932f47972f83c27cf4e3b35b4f,4.380707,1772471913,04f8da2c3fad3ccf3e97e0faf58be4a6f73822b292a20ba863d3787658e1c28b,44,44.00,3.98,1,6,4,0.025497,0.613307,Minotaur,minotaur(pow_w:0.50),2.36,13,0
3,1,0xc24b36dee27726233c3bbd9e1f028f98b6b2a424,2.413089,1772471915,ac4e81583ec024f0dcb4e379f5a49136372ca7ee26bd08800ad872564b817c66,370,185.00,3.69,1,5,4,0.025497,0.613321,Minotaur,minotaur(pow_w:0.50),2.18,14,0
3,2,0xa9105f442328d397529b8e4e9e656fa89016ff45,0.471164,1772471917,caf7d99b4c816f27587479ecf43c4b7b6949a84918eb5e101e09146cfbba9092,155,77.50,3.88,1,6,4,0.025501,0.614433,Minotaur,minotaur(pow_w:0.50),1.93,15,0
3,3,0xac768e60b9269babb15cb1e36ee843243d7c7543,4.720658,1772471919,ac54a3e27cc5407ef39a39805f7a11fa0d89c83c97bc7e9beaa67f7b307c9f0e,302,151.00,3.67,1,6,4,0.025207,0.611377,Minotaur,minotaur(pow_w:0.50),1.93,16,0
3,4,0x34412315480562da4810040fd15c81f99880e1ab,3.903873,1772471921,668838555f4e713fc5ce07b4dd7f2914d16118f5516f08decfc5b3535990e281,319,106.33,3.88,1,6,4,0.025552,0.614325,Minotaur,minotaur(pow_w:0.50),2.86,17,0
4,0,0x89100a8056319ba37491b32ba255004180607bc2,2.786837,1772471923,b5e2e7f671159f703e7b147ec7f0b0fcd30d56395699d3850605318a5dcc644e,304,152.00,3.95,1,6,4,0.025553,0.614343,Minotaur,minotaur(pow_w:0.50),2.77,18,0
4,1,0x6d6b2734a20229ddd7fd4a1470ba3e3bad4e4a85,1.643024,1772471925,b7b529aed24d66aa44e985966526a7276af100a80da48267fe3d964acdc3fa84,318,159.00,3.92,1,6,4,0.025600,0.615656,Minotaur,minotaur(pow_w:0.50),2.61,19,0
4,2,0x30509a8084fdfe6fe24d9c9a817c209ad194f8e3,2.656079,1772471927,756be6d152c6dc2e502241a8b13129c3507bc5ad480b0ecb0219ff227be0c923,288,144.00,3.77,1,5,4,0.025476,0.615537,Minotaur,minotaur(pow_w:0.50),2.50,20,0
4,3,0x3513d672439a59c26cc5711f2b715ccb4810a774,1.292205,1772471929,0226fe9c5581994afe6e0fca750a313c134e10e9431744c312f4c9fa9b2f89f1,305,152.50,3.56,1,5,4,0.025497,0.616541,Minotaur,minotaur(pow_w:0.50),2.54,21,0
4,4,0xdcf2130496e27a8094ab996aea4aa77788d65869,5.507947,1772471931,7f1ef8ea4146551b5edfa1984d56564a7ea31225701f95416ae140b31e0cc39c,298,149.00,3.93,1,6,4,0.025323,0.615684,Minotaur,minotaur(pow_w:0.50),2.51,22,0
5,0,0x63f4973c0df8a5358405f396dc0673a463c48de9,4.903307,1772471933,14bfd08598cc3ad9b299d4978c8f4aab6b239362b932b8779444cac146525595,287,143.50,4.01,1,6,4,0.025729,0.618730,Minotaur,minotaur(pow_w:0.50),2.48,23,0
