epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,1,0xa9105f442328d397529b8e4e9e656fa89016ff45,0.471594,1772339480,f42cb878cf9cca22e2e3f9606d287f32245b5a8cac2bbaa3297f145d8bd87d8d,1,0.00,1.00,1,1,1,0.667986,0.498923,pow,pow(difficulty=20_work_amount=1048576),0.00,0,0
0,2,0x89100a8056319ba37491b32ba255004180607bc2,2.787467,1772339487,4d90768b0dab1d84d34cb4162cbc12b221172b6fa4870456e7d50e6915eb05c7,250,31.25,3.45,1,4,4,0.024115,0.597085,pow,pow(difficulty=20_work_amount=1048576),4.04,1,0
0,3,0xc24b36dee27726233c3bbd9e1f028f98b6b2a424,2.413379,1772339489,51078648288b18459cd4577ef6ca8cc28158ce79f8964be7f4b5df8196bec137,250,31.25,3.06,1,4,3,0.024279,0.599393,pow,pow(difficulty=20_work_amount=1048576),7.03,2,0
0,4,0x4a217e35f6402e7f62a49f6d62e27c6585c2f3fd,1.492897,1772339491,5b7bd90dd15fde61415859f01ccaef67df0a33a98611d60bcfca258d370e47b5,250,125.00,3.40,1,5,3,0.024360,0.601007,pow,pow(difficulty=20_work_amount=1048576),3.44,3,0
1,0,0x81193196c1dbdbf80709d43a5af5ce21c201fbd7,0.838979,1772339494,589d6208940b84772d3816e54301db957cfdeaac20ba0260435c23b4c6a8e963,201,100.50,3.39,1,5,4,0.024263,0.601150,pow,pow(difficulty=19_work_amount=524288),1.57,4,0
1,1,0x49b57eb4dace37c8819daf079c9c674f766d4f38,1.231980,1772339495,71aae9ca14e91bbff6ea0faafd9cf97772a6ed146805839b1681e718b2e03405,205,102.50,3.30,1,5,3,0.024046,0.599478,pow,pow(difficulty=19_work_amount=524288),1.57,5,0
1,2,0xeb82a21cb3d0dd781eb22ad74bb7cd9b4d2a06ec,2.924465,1772339497,7f11548b04b85a4155c9323250a3d2989a137e34d5ec2ea2fbff17595f42691c,103,103.00,3.25,2,4,3,0.023903,0.598781,pow,pow(difficulty=19_work_amount=524288),1.00,6,0
1,3,0x3513d672439a59c26cc5711f2b715ccb4810a774,1.292625,1772339499,c92c891590bfa2fad77a07952d040278cd8e1ac03bf16f372851baafbde91d70,206,103.00,3.40,1,5,3,0.024058,0.600846,pow,pow(difficulty=19_work_amount=524288),1.50,7,0
1,4,0x7e40df5d801345015e84c843908efc6683665fa4,0.659859,1772339501,6773f073357a4b0786d8adefbc5273183312735ebe187b4580b16eb5bf3d7c42,246,123.00,2.92,1,4,3,0.023922,0.600120,pow,pow(difficulty=19_work_amount=524288),1.11,8,0
2,0,0x30509a8084fdfe6fe24d9c9a817c209ad194f8e3,2.656589,1772339503,18a4cae5289f2ce3e8a0b0b6abc6da346520a5c238e64b2b70e98c227917d13f,221,73.67,3.28,2,4,3,0.023681,0.597643,pow,pow(difficulty=20_work_amount=1048576),1.75,9,0
2,1,0x6d6b2734a20229ddd7fd4a1470ba3e3bad4e4a85,1.643374,1772339506,9fcb9bedc9e4d3f605ec1854f910c1b0766fc57df5d756301d9d1af5f1eff153,203,101.50,3.49,1,5,3,0.023775,0.599163,pow,pow(difficulty=20_work_amount=1048576),1.54,10,0
2,2,0x3513d672439a59c26cc5711f2b715ccb4810a774,2.295045,1772339507,64efd2cf087bdbe06dff84ed26407da49822fe11d2be31daf3eca55556d76018,192,96.00,3.20,1,4,3,0.023697,0.599142,pow,pow(difficulty=20_work_amount=1048576),1.51,11,0
2,3,0x07902d0371763a00d97ed9ba16ff0a206cb0fd19,2.531859,1772339509,38d9d8317933b27e9cfecdf0bd6e21de2032bf04ff8b8f2162b4fa90a495401d,89,89.00,2.93,2,4,3,0.023722,0.600055,pow,pow(difficulty=20_work_amount=1048576),1.00,12,0
