epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,1,0xeaa5003682d7289190651081ae2bee847097afc5,0.762295,1772336827,a1f11bb4fea4a701e6a8539f3c7986325c9a54179316f98098b44e59a130fc37,1,0.00,1.00,1,1,1,0.545718,0.151191,pow,pow(difficulty=20_work_amount=1048576),0.00,0,0
0,2,0x13f9dadc05f6c237b03411e2aed1800cf21a5d89,0.278002,1772336833,d2cad2b4e89c10ca6b109efa79314da8d05fcec9fb530d61ed5932f8a66499bf,250,27.78,7.56,1,15,7,0.024172,0.598245,pow,pow(difficulty=20_work_amount=1048576),4.77,1,0
0,3,0x63f4973c0df8a5358405f396dc0673a463c48de9,3.901127,1772336835,a1cde9e3c137ab1165adb52dd411bd69ffd3258b641f1640940028830b380c62,250,41.67,6.78,1,13,6,0.023851,0.594228,pow,pow(difficulty=20_work_amount=1048576),6.14,2,0
0,4,0xf6e059718dbd0a0956726ab97d06bad5efc6cd18,1.016697,1772336837,9d2d573a947495c427eb807b5c9b03fd6d750c1cb37b9b44b53c239f0f5f1522,205,102.50,5.30,1,11,5,0.024221,0.597697,pow,pow(difficulty=20_work_amount=1048576),3.63,3,0
1,0,0x63f4973c0df8a5358405f396dc0673a463c48de9,4.903167,1772336839,477acd9fe516a117f34631eaf713e19caefb09dfddd384981e61170a54d1cc00,176,88.00,7.24,1,15,7,0.024039,0.596564,pow,pow(difficulty=19_work_amount=524288),2.15,4,0
1,1,0xbc3f8508d26048f2064aa8c068f4c94d08d77d18,3.068399,1772336841,8b1bf3aeae911e57d2c08f3f05386ce912156107f5a17e20dc3af1a3c37f3daa,250,83.33,5.49,1,10,6,0.024565,0.600332,pow,pow(difficulty=19_work_amount=524288),2.82,5,0
1,2,0xd46407aa7b668c72de3cf1c1a12b7fa2e308a1b2,1.991529,1772336843,185121fe922663aae53161a67a85a4cb2b022f8022a173235666a1b9b399a218,146,73.00,7.28,1,12,7,0.024566,0.600344,pow,pow(difficulty=19_work_amount=524288),2.35,6,0
1,3,0xeb82a21cb3d0dd781eb22ad74bb7cd9b4d2a06ec,2.924445,1772336846,d15dddcecdfec4c9f2dae7d2c2a7554ea565ffcdb1aac9304f4fd12f5bb19046,197,98.50,5.92,1,11,6,0.024567,0.600357,pow,pow(difficulty=19_work_amount=524288),2.44,7,0
1,4,0xd46407aa7b668c72de3cf1c1a12b7fa2e308a1b2,2.993469,1772336848,c29bda5561b9849ef1e20e7ee533cd08965a9d8469f7e1757c6812e82f717ab5,212,106.00,7.48,1,15,7,0.024692,0.603672,pow,pow(difficulty=19_work_amount=524288),2.40,8,0
2,0,0x075e1d95c7891e1c00414ca1aa9a7a8cf6270019,0.141665,1772336850,5d0a43302def11a5ef15cdfb758d21e3af0215b694de7307a9eb306940185dc2,196,98.00,6.04,1,11,6,0.024837,0.605803,pow,pow(difficulty=20_work_amount=1048576),2.44,9,0
2,1,0xac768e60b9269babb15cb1e36ee843243d7c7543,3.717958,1772336852,c6c7b2d533a2b9bc258256326196f419009ed853de490893e186ab9da0001d32,214,107.00,6.63,2,14,6,0.024491,0.600873,pow,pow(difficulty=20_work_amount=1048576),2.13,10,0
2,2,0xc774b0fee7cabbef3b1ae14bf36db3df0d32c1df,1.174137,1772336854,b2d94b727732dbd8a72c8fdbb03777975708b0baf852a21059bbc313f8f40f6b,134,44.67,5.96,1,12,6,0.024492,0.600885,pow,pow(difficulty=20_work_amount=1048576),2.83,11,0
2,3,0x30509a8084fdfe6fe24d9c9a817c209ad194f8e3,2.656499,1772336857,2007c37c834ef62e81aa363c0a42c858b8cbe4b596db6e20091729ad9602b373,223,111.50,6.59,2,12,7,0.024492,0.600897,pow,pow(difficulty=20_work_amount=1048576),2.59,12,0
2,4,0xeb82a21cb3d0dd781eb22ad74bb7cd9b4d2a06ec,3.926425,1772336858,f0b12ed1d5dc6a7a52821ff4cbe86c2cc2a04f4221017233320aa1b098757696,201,100.50,7.65,1,11,8,0.024326,0.600056,pow,pow(difficulty=20_work_amount=1048576),2.50,13,0
3,0,0x4a217e35f6402e7f62a49f6d62e27c6585c2f3fd,1.492777,1772336860,b51e2209ffe877032a7413214c6d0ec354ff892ddaa5bb16151624bcfe232e9e,103,103.00,6.21,1,12,7,0.024609,0.603046,pow,pow(difficulty=21_work_amount=2097152),1.93,14,0
3,1,0xe6ebb0cdfd04183d498964e5efc4096ba77b17d6,4.294143,1772336862,adbf97a18757cc874e8cae5a9d1c7d2a830af915816dea02b170e50b3a81171a,241,80.33,8.75,1,15,10,0.024610,0.603058,pow,pow(difficulty=21_work_amount=2097152),3.50,15,0
3,2,0x34412315480562da4810040fd15c81f99880e1ab,1.898033,1772336864,7e45cf65e352af73e30d5fde49a9e5f8165de07b22e44aac6b46a1460a388daf,135,135.00,5.92,1,14,6,0.024938,0.606125,pow,pow(difficulty=21_work_amount=2097152),2.22,16,0
3,3,0x4414c05be2cf328f38d2e3ef4b705d6b894f044a,2.089319,1772336866,1c1c77d6f42c356c40bff46004069c414ac1211a3c7ff02bee45614c4f3d2280,242,80.67,7.71,1,12,8,0.024875,0.606689,pow,pow(difficulty=21_work_amount=2097152),2.93,17,0
3,4,0x269cdf52f97e1d9f14b7be895155a7b294f0b21d,0.726043,1772336869,244e65197c4f66a43bd1aeaa7bcaae70e47ef949d6b9a7992e7a1034f2a693cb,98,49.00,9.43,1,16,9,0.024839,0.607391,pow,pow(difficulty=21_work_amount=2097152),3.13,18,0
4,0,0x60705151f1f537cacd5b801f3ef1b31dc3f605de,0.305504,1772336870,82df3c01e5013ffb40a198e9cb3006b1499a2d91f761ec1604c2c710d0fba950,245,122.50,5.53,1,11,5,0.024595,0.605090,pow,pow(difficulty=22_work_amount=4194304),2.69,19,0
4,1,0x1796dc61e715f15a2d27dfa32bd34780f12a8c24,1.723961,1772336872,50af84845cee6d28f8f906550663f99c0bd6c36632062c71aaecbc60e3ebe5e4,118,118.00,6.02,2,11,6,0.024292,0.601138,pow,pow(difficulty=22_work_amount=4194304),1.75,20,0
4,2,0x4414c05be2cf328f38d2e3ef4b705d6b894f044a,3.090219,1772336874,5652d41171b54d55271dfbd009d454609f15040eb3645a8b0a69b1fbd773b48f,250,83.33,5.87,1,12,6,0.024204,0.601166,pow,pow(difficulty=22_work_amount=4194304),2.96,21,0
4,3,0x719361397abe003a91af76243e5f9c7a0cd4279f,3.543536,1772336876,20a29d846334010653f8ddee28d86c1ce34b899e12879c1c6be256e3c19b2f4b,76,38.00,6.46,1,15,6,0.024312,0.603052,pow,pow(difficulty=22_work_amount=4194304),3.07,22,0
4,4,0x1796dc61e715f15a2d27dfa32bd34780f12a8c24,2.726421,1772336879,f0cc5c479f073e82f0742af71ceb170d82ba9266822a7bcff9d5c03505d32e45,250,125.00,5.82,1,12,6,0.024478,0.605201,pow,pow(difficulty=22_work_amount=4194304),2.94,23,0
5,0,0xdcf2130496e27a8094ab996aea4aa77788d65869,4.505277,1772336881,c9892912de6bd4208a0f8e1ecf964e44b725793586197aa8ff62ac56c33ab228,172,86.00,5.46,1,12,5,0.024521,0.606470,pow,pow(difficulty=23_work_amount=8388608),2.43,24,0
5,1,0x89100a8056319ba37491b32ba255004180607bc2,2.786917,1772336883,a37895868c356df2b1eb349095d89c7a912b4f572a9f5c57422532adf3765394,222,111.00,5.81,1,12,5,0.024802,0.609249,pow,pow(difficulty=23_work_amount=8388608),2.24,25,0
5,2,0x6064b9f5883bf9737dfe314ff68c56e09e68ac89,2.191799,1772336886,d1dcc8bff522658225ae07308880396ababc04978e77f4bd236ecad1769f4f77,177,88.50,5.83,2,13,6,0.024840,0.610368,pow,pow(difficulty=23_work_amount=8388608),1.75,26,0
5,3,0x49b57eb4dace37c8819daf079c9c674f766d4f38,1.231380,1772336887,47e6500c460d4e61a0fbcf08c6d6309bc75bd0d8a4ef4d3d65041eb9f3000c2e,226,75.33,7.07,1,11,7,0.024794,0.610748,pow,pow(difficulty=23_work_amount=8388608),2.65,27,0
5,4,0x6d6b2734a20229ddd7fd4a1470ba3e3bad4e4a85,1.642884,1772336889,634a62b203bbc2145e92b28d079676d8ee2f79442fb7c9a854defd52d90afdce,115,115.00,8.48,1,13,10,0.024621,0.609647,pow,pow(difficulty=23_work_amount=8388608),1.80,28,0
6,0,0xc774b0fee7cabbef3b1ae14bf36db3df0d32c1df,2.176017,1772336892,5a987357a63263e8f58447587d0ac110bf77320ba5340b9ad8ae9a9b915bc010,217,108.50,5.90,1,12,6,0.024503,0.609150,pow,pow(difficulty=24_work_amount=16777216),2.29,29,0
6,1,0xe478b1e4d1538274c0c70cbd7df877f9abab2f62,2.299766,1772336893,d3e2a13913592f2bcc3589af7cb825137e16dcc42d4dc7953cb617f69426c71e,198,66.00,6.64,1,12,7,0.024454,0.609273,pow,pow(difficulty=24_work_amount=16777216),2.63,30,0
6,2,0xa9105f442328d397529b8e4e9e656fa89016ff45,0.470794,1772336895,12e19af39a65580cb3f2ff8e4dc4bed754f793879e689172d45ef54031e3c5d2,123,123.00,5.50,1,13,5,0.024418,0.609430,pow,pow(difficulty=24_work_amount=16777216),1.63,31,0
6,3,0x26d553a2f4343b3a7dc88bbd87b3d0a25d3838d9,3.218740,1772336898,9c017876f3df23e169b32520c803bb1dfb4beb5eeefd28258b89494468091be6,246,82.00,6.14,1,13,6,0.024156,0.606280,pow,pow(difficulty=24_work_amount=16777216),2.78,32,0
6,4,0xf6e059718dbd0a0956726ab97d06bad5efc6cd18,2.017807,1772336899,620f06dde3cace5d606f3b7c243b3431fbf3db8a8f442701c52dd3e3d6ee2b62,191,95.50,6.30,1,11,7,0.024231,0.607664,pow,pow(difficulty=24_work_amount=16777216),2.21,33,0
7,0,0x26d553a2f4343b3a7dc88bbd87b3d0a25d3838d9,4.220590,1772336902,92ccfa003f838795f4fcc129d8c05ab357d91ad5c06741f4dbe26ccd2738ffba,129,64.50,7.23,2,15,7,0.024158,0.607343,pow,pow(difficulty=25_work_amount=33554432),2.67,34,0
7,1,0xdcf2130496e27a8094ab996aea4aa77788d65869,5.507307,1772336904,5c51124e944ff9a92197947a017e89f53621943f34231b577a9a30d39442800d,250,125.00,6.12,1,11,6,0.024342,0.609588,pow,pow(difficulty=25_work_amount=33554432),2.71,35,0
7,2,0xdcf2130496e27a8094ab996aea4aa77788d65869,6.509297,1772336905,c07b6a7d6abbf6bcd2444b5f0ce30abd70a9ea1c18a5d134cd61719d1efc137a,199,99.50,5.86,1,12,6,0.024665,0.612424,pow,pow(difficulty=25_work_amount=33554432),2.45,36,0
7,3,0x6d6b2734a20229ddd7fd4a1470ba3e3bad4e4a85,2.644774,1772336908,89eb8c6641c18aaa4a414e46e666d123cc8d56b483b59f56248b574be22eacec,131,131.00,5.65,2,13,5,0.025090,0.615277,pow,pow(difficulty=25_work_amount=33554432),1.63,37,0
7,4,0x81193196c1dbdbf80709d43a5af5ce21c201fbd7,0.838359,1772336910,8387e1744b86a32bb33c5ec21f2384be8c4bd38a1f4a59a36594da5081fd8066,250,62.50,6.62,1,12,6,0.025067,0.615618,pow,pow(difficulty=25_work_amount=33554432),3.66,38,0
8,0,0xeb82a21cb3d0dd781eb22ad74bb7cd9b4d2a06ec,4.926945,1772336912,4217773fea73c6e07604cfb450c27bc5826712dbab94f89aa9a4fd37770c7407,96,96.00,6.95,1,14,7,0.024844,0.613461,pow,pow(difficulty=26_work_amount=67108864),2.74,39,0
8,1,0x63f4973c0df8a5358405f396dc0673a463c48de9,5.904887,1772336914,1cd190003a99b3c15c6784816373be7e00836d22cf91444191ec416f8426028c,222,74.00,7.28,1,14,7,0.024845,0.613469,pow,pow(difficulty=26_work_amount=67108864),3.30,40,0
8,2,0x49b57eb4dace37c8819daf079c9c674f766d4f38,2.232250,1772336915,03a9b75bf2a5cd624fb8aadb6c29c3382141f5cc8f9af61229b8f99f030ade76,106,106.00,5.34,1,10,5,0.025174,0.616103,pow,pow(difficulty=26_work_amount=67108864),2.21,41,0
8,3,0x719361397abe003a91af76243e5f9c7a0cd4279f,4.545646,1772336918,ffe6624e308f46062d57fb160ed6b022a6aef8acc7a38b935c62f58efa8a2a71,97,48.50,7.85,1,15,9,0.025175,0.616112,pow,pow(difficulty=26_work_amount=67108864),2.49,42,0
8,4,0xe6ebb0cdfd04183d498964e5efc4096ba77b17d6,5.294953,1772336919,c0d296e262eeb2216f0782b7f9c53c8d4a1b1d18101e3c18d60871bf10dd3e44,250,83.33,5.84,1,12,6,0.025348,0.618274,pow,pow(difficulty=26_work_amount=67108864),3.90,43,0
9,0,0xa3786e459f289a76c0e8af8ad834e3d0c6d47199,4.726433,1772336925,2f456dbb709bebfd30f1a08a28f82cae944aa6c1fdf6cec80d55181010c5f22b,34,34.00,10.03,3,14,11,0.025591,0.620652,pow,pow(difficulty=27_work_amount=134217728),3.26,44,0
9,1,0xaadc5fea232580cb8fba739ac5d05a48559c7e52,1.355563,1772336927,4eb99ce46be3f8e282b43a3b2549c5d6935b1d5c9043252b11ea91f33bd6687e,250,50.00,6.50,1,13,6,0.025767,0.622683,pow,pow(difficulty=27_work_amount=134217728),5.17,45,0
9,2,0x30405867b72597aaeb27803bb2c7f3f5fc7d5384,0.518204,1772336931,2038b11c82a253ad4998c52d1ac8a872968d7c9ce0b7747e050df49ebc1c374b,156,78.00,5.44,1,12,5,0.025589,0.621440,pow,pow(difficulty=27_work_amount=134217728),2.83,46,0
9,3,0xaadc5fea232580cb8fba739ac5d05a48559c7e52,2.357063,1772336934,532e1bf3591127e58eb029d7f7349c44e52b5751a7cc86ac182ccf0a0c233f5b,250,62.50,7.86,1,12,8,0.025331,0.618395,pow,pow(difficulty=27_work_amount=134217728),3.68,47,0
9,4,0xaadc5fea232580cb8fba739ac5d05a48559c7e52,2.357033,1772336937,223d610db0978d76fd67ae9e7633ff1be77bbf45a6618666070cce692c6ba5b9,247,61.75,5.99,1,13,6,0.025331,0.618409,pow,pow(difficulty=27_work_amount=134217728),3.62,48,0
10,0,0x58a21eeb7ab18ba8adf1296e66a4487076e95dac,4.092074,1772336954,fd3ed72019dd453a30eda06b9052b0589e68d17227f1803e050233fd5d07142e,250,83.33,6.77,1,13,6,0.025260,0.618219,pow,pow(difficulty=28_work_amount=268435456),3.03,49,0
10,1,0x606627477c3734932f47972f83c27cf4e3b35b4f,3.376467,1772336967,2d2c297fdd800c6aa652c6598aec753b76725a00e63d3168acf43ceb605a0a92,250,14.71,7.64,1,12,8,0.025289,0.619417,pow,pow(difficulty=28_work_amount=268435456),16.72,50,0
10,2,0x26d553a2f4343b3a7dc88bbd87b3d0a25d3838d9,5.222450,1772336968,ff4038a3a6442de263777e117701c19cc3834ea759fcd21f46777edd0bea4a6b,250,20.83,6.58,1,11,6,0.025385,0.621058,pow,pow(difficulty=28_work_amount=268435456),16.62,51,0
10,3,0x50f7fa851f9314d682e36da5caa4635039b5305d,0.105016,1772336978,462d8208c76b87ba42d3fe23ba7857b773b9bf3dc919bd69c8aff482256e4410,62,62.00,5.84,1,10,6,0.025596,0.624000,pow,pow(difficulty=28_work_amount=268435456),8.48,52,0
10,4,0x4a217e35f6402e7f62a49f6d62e27c6585c2f3fd,1.491487,1772336980,3898e1052e5d7168eff1c5b46d10305aa1c1c75358552ef29dbfbb6678fc5c21,250,22.73,8.37,1,14,10,0.025598,0.624042,pow,pow(difficulty=28_work_amount=268435456),10.96,53,0
11,0,0x0d91704595bff3aec25d40822498a51c62b05e3a,0.569906,1772336982,0641af4a1e7ac202b1f988873c49a6f606a8a4aea03d7b9bbc495236e3a00fb6,61,61.00,6.49,1,15,5,0.025148,0.618418,pow,pow(difficulty=27_work_amount=134217728),5.87,54,0
