epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,1,0xd5540753439d870b98b562fa81625a362573e8a1,0.730128,1772353291,1214017481b14a1e24f93a74f1ae2ca224d2b973c366c0f5f27d2cb5217e057e,1,0.00,1.00,1,1,1,0.586138,0.207530,pow,pow(difficulty=20_work_amount=1048576),0.00,0,0
0,2,0xeaa5003682d7289190651081ae2bee847097afc5,1.226219,1772353298,027ab0005c3e4a1422892e4af07663736f95ee7de2164c4c02f5bb11601cc1d8,250,25.00,4.09,1,6,4,0.009723,0.599276,pow,pow(difficulty=20_work_amount=1048576),6.16,1,0
0,3,0x40dc8d1b30ddbc93cd0640bbd8c161ec512f23ba,0.716200,1772353299,1a8197423060e84792ede79aed2d1429301dda4445ccbb53f59ba4bf034baf79,250,41.67,3.82,1,6,4,0.009701,0.599121,pow,pow(difficulty=20_work_amount=1048576),6.56,2,0
0,4,0xcf3b4caec12975b031486285f3b6058f6aaab23f,2.448157,1772353301,f7f5e45f7c9d678705dca8fa93c1c990f7f9325c32017508e955867be40ec652,94,94.00,4.51,1,6,5,0.009662,0.598325,pow,pow(difficulty=20_work_amount=1048576),4.96,3,0
1,0,0x38d624662c47738105864b390fd8bbcddad92012,1.944220,1772353303,b52b272b8ba55d9fec62feda24436d8b50a024c7ff24b9fec2e6d0b3ea637117,225,112.50,4.31,1,6,4,0.009662,0.598330,pow,pow(difficulty=19_work_amount=524288),1.50,4,0
1,1,0xd09afb3938315cb6bbce5e5580d97e1552e9e59c,4.033616,1772353305,96fcc29674d93641624278bbe6a9d6603af0107aa5dc8b536550046afa336186,219,109.50,4.12,1,6,4,0.009677,0.599489,pow,pow(difficulty=19_work_amount=524288),1.47,5,0
1,2,0xd5540753439d870b98b562fa81625a362573e8a1,1.732508,1772353307,57be94dd3136812927df1f05c1cee9df5e097392e47d2d8a7d50f00e0e9b524f,193,64.33,4.79,1,6,5,0.009741,0.600930,pow,pow(difficulty=19_work_amount=524288),2.58,6,0
1,3,0xa85279c777d1070576563da2c375007291426049,3.328835,1772353310,8b227c7fa8f887b74e6520005db23d5d87355e6c14f89eb20d09cb618b0c2135,225,112.50,4.00,1,6,4,0.009733,0.601156,pow,pow(difficulty=19_work_amount=524288),2.13,7,0
1,4,0x217728ecf676216aac6ddb9c5c9af96eb6685a1f,1.324094,1772353311,6c50e2fc6787bd9b2748d42dfe439a197096f2a6451d59242f0db98516c09442,163,81.50,4.02,1,6,4,0.009772,0.602295,pow,pow(difficulty=19_work_amount=524288),2.04,8,0
2,0,0x04cb4f4da7f4a0ef24cef3f3f17e268e928eb057,0.973813,1772353313,f7d735823a6de33453bdc9123dafcc84404a7fca567ee5ec6108c6aaeeaed1b3,116,116.00,4.15,2,6,4,0.009752,0.602147,pow,pow(difficulty=20_work_amount=1048576),1.22,9,0
2,1,0xeaa5003682d7289190651081ae2bee847097afc5,2.228639,1772353315,7e002703fd3005a88851551fbb9ffa27438c16857bfb900b737e5f6ed9054686,211,105.50,3.34,2,5,3,0.009720,0.601634,pow,pow(difficulty=20_work_amount=1048576),1.55,10,0
2,2,0x8823923e5195f067c08810e36f46eb413ba22458,2.593302,1772353318,cadaf9b67aa3784dccd2ad3971ee30099722cea817d9f07bfcd5a830c5074b04,216,72.00,3.91,2,5,4,0.009726,0.602163,pow,pow(difficulty=20_work_amount=1048576),2.40,11,0
2,3,0x0bca2ea4ce557e6ee12cb066129c4d9b11907391,0.426326,1772353319,ce9de1944b53258dbe38da4692fb8a7acdd810bcfb53196cf2ac7d05633785bd,192,96.00,4.92,1,7,5,0.009742,0.602882,pow,pow(difficulty=20_work_amount=1048576),2.36,12,0
2,4,0x36e57273b6341e60c1ea1afaf7c3e49f382be78d,1.202853,1772353321,a4146fd4dcd13914151148d5efd89d4e5ff80c769a0d4ebd1af7c327ba205c10,179,179.00,3.97,1,6,4,0.009695,0.601612,pow,pow(difficulty=20_work_amount=1048576),1.59,13,0
3,0,0xb5bd9a09974bf229341d914f01ce2e2c8b346713,2.140127,1772353323,34f00832a6e7da2007dda0422a49140908157c325a3703a5634e1056f4069a43,199,99.50,4.62,2,6,5,0.009671,0.601299,pow,pow(difficulty=21_work_amount=2097152),1.53,14,0
3,1,0x908c4aa9c7360555ff390e0bfa275f690bd28087,2.099316,1772353325,07bf5ce6402ef2b350ea85bf9d81d71010eae13d9b2c576b62118fc372f53a5a,223,74.33,4.44,1,6,4,0.009673,0.601716,pow,pow(difficulty=21_work_amount=2097152),2.53,15,0
3,2,0x1d20c49c356c7ab4d2c5e12f8c3ec2230f3b0431,1.113783,1772353328,625b2bf4849ce9a3a32ca4244ab92a49869e4efa5bcad19a6d32ef0fa093a112,208,104.00,4.77,1,7,5,0.009674,0.602073,pow,pow(difficulty=21_work_amount=2097152),2.51,16,0
3,3,0xb990cdf21950e6086c350175c4bc504e45858230,0.614104,1772353329,9006e76b607bee27783c4a9926a3d7e6d5b261cdd185af76f9df34b364a523ca,250,125.00,3.58,1,6,4,0.009647,0.601645,pow,pow(difficulty=21_work_amount=2097152),2.23,17,0
3,4,0x8d5719d526bfade8878a894b0e96895672f3435b,1.870836,1772353331,25a65f841e3e3a8e32aaa45d6dfc6b8ac075d8642d7d5e7a13e9572b4139ff1d,85,85.00,4.51,1,6,5,0.009607,0.600638,pow,pow(difficulty=21_work_amount=2097152),1.66,18,0
4,0,0x9526592b4d932162e924e5f156720891aee464f8,2.355725,1772353333,4f67cee0c9fab68668ee335ef3e624aeccbe0dbecde58fae4334f63492c15d82,198,99.00,4.30,1,6,4,0.009601,0.600814,pow,pow(difficulty=22_work_amount=4194304),1.54,19,0
4,1,0x37cc7a82e66d4f4c2ae13b9ee895d3af1a1d7a05,1.699577,1772353335,d9a1261d60eba27b8d212a6397c31825ab0e6ea1ccc2e4b1a6cf024b7f4e368e,204,68.00,4.49,1,6,5,0.009609,0.601298,pow,pow(difficulty=22_work_amount=4194304),2.50,20,0
4,2,0x7f61d38eb3492f64c9435fea4677c718b839ea0d,2.495479,1772353338,97dff7060fb97f4495ddaf4c628435b137f7214dd9514d58513558c38d788464,197,98.50,4.49,2,6,5,0.009598,0.601318,pow,pow(difficulty=22_work_amount=4194304),2.46,21,0
4,3,0xc925d2f6cce879a861809358c553c1eac5cc7f7a,3.526139,1772353339,09c909cb5def4e5ce73c0d0d82380d96a99a5a0f6d70d92a32a2e1412893c470,209,104.50,4.47,1,6,4,0.009608,0.601850,pow,pow(difficulty=22_work_amount=4194304),2.17,22,0
4,4,0xe1b305d3e7fe6c955492f2e116ccba9d449c136c,0.516547,1772353341,c8d2785cfe2d26f6d89c48a8d6ac231dbac1beebedb094e98a2daac74d6df25d,48,48.00,4.60,3,7,5,0.009646,0.602974,pow,pow(difficulty=22_work_amount=4194304),1.92,23,0
5,0,0xcf3b4caec12975b031486285f3b6058f6aaab23f,3.450237,1772353343,b44cb5732906bf102ec00317db41a4358a9080726cc38722eabdeca9a0866186,188,94.00,4.59,2,6,5,0.009603,0.601822,pow,pow(difficulty=23_work_amount=8388608),1.47,24,0
5,1,0x4ba33404d90c4ae989714d9d174cd882cffb7994,0.351662,1772353345,5728f2a87f88439912e33d78deb24dde514b8aa757c87664d00ba8b1b2c7e29c,205,68.33,4.30,1,6,4,0.009638,0.602882,pow,pow(difficulty=23_work_amount=8388608),2.48,25,0
5,2,0xfe4716c11202f06ca79363ca5bde6bd38d899cec,4.613900,1772353348,ddc7d2ef7c167837d53ac83bd1bc42d3802071ba152f1a0c71004cf915afa6dd,219,109.50,4.15,1,6,4,0.009591,0.601454,pow,pow(difficulty=23_work_amount=8388608),2.31,26,0
5,3,0x2838b9a868f00edc5988dbc3d52c8760fbcff37b,2.266989,1772353349,7758d394cc0692bb424c5dd6efc0fda773c0b0b2cd1d6e69e160f18f2ee6e615,223,111.50,4.50,1,6,5,0.009655,0.602864,pow,pow(difficulty=23_work_amount=8388608),2.14,27,0
5,4,0x43b706be97d53eea3699e723a3ed9a4e77b0a296,4.439895,1772353351,e7f5d88af029db79ac2b29553206d6123bca1914f0c71c9cfc2fdcf46eb62872,56,56.00,4.43,3,6,4,0.009657,0.603203,pow,pow(difficulty=23_work_amount=8388608),1.98,28,0
6,0,0xc925d2f6cce879a861809358c553c1eac5cc7f7a,4.526569,1772353353,f25b2f9d55da7b868dc9a8e043678c1c302a9f1ebb3beed9401d2c4f0ad4d902,174,87.00,4.16,2,6,4,0.009715,0.604549,pow,pow(difficulty=24_work_amount=16777216),1.52,29,0
6,1,0x11ea92c165f55aaf20becf2164a537b2d46d0d02,3.393253,1772353355,bcb8d119fee23bd011f4cd97f396c7aa96319ecbdb7ab581614a1f85399a9d8f,211,70.33,4.25,2,7,4,0.009775,0.605874,pow,pow(difficulty=24_work_amount=16777216),2.46,30,0
6,2,0xb820b1ee6f1c3df7b3b154c8b8537dcc4ce26b2f,1.031380,1772353358,5f40e148f8fcca4fff93e3d36e3f89798164fdd4270f8a28b9a39af0d6726b4b,224,112.00,3.70,1,6,4,0.009804,0.606844,pow,pow(difficulty=24_work_amount=16777216),2.21,31,0
6,3,0xd15c9356e40b449ea5f0b897e4f3205e286b4be0,4.191353,1772353359,a4b2705ddccad10096f89d0e76a9c2c5e593877290e610e2e10b1fddbb4bdc11,196,98.00,4.92,2,7,5,0.009804,0.606846,pow,pow(difficulty=24_work_amount=16777216),2.19,32,0
6,4,0x633365d1dfc77be11eed6b510578c696f202caf8,1.457465,1772353361,3c3e6969a978d59276ec9d13e1171787e6886630d1317964a936eb69ae7b7830,75,75.00,4.79,1,6,5,0.009853,0.608057,pow,pow(difficulty=24_work_amount=16777216),1.99,33,0
7,0,0x82313ba7a6a7903bca93ed0a71a08ea593a56137,2.310771,1772353364,00c3eec2e1fcd5ece551192d8205de0d4a330bfb97be7773decf2d824a4d9149,205,68.33,4.92,1,7,5,0.009832,0.607856,pow,pow(difficulty=25_work_amount=33554432),2.51,34,0
7,1,0x0883dfa85d3c4766878817eea86b43f89a660616,3.459013,1772353365,bb5c5f0d83aa5bfcd90e195f1338368b58ec5b6158e35d9f517abb656e688b9b,250,125.00,4.14,1,6,4,0.009833,0.608168,pow,pow(difficulty=25_work_amount=33554432),2.24,35,0
7,2,0xc2404cc66f2bea781644b907485c247e0a2d7a22,1.981731,1772353367,6b9974fd9823ac41d75a2cf861ba1ffd2bd1fa1fe067f416076a9d303ec2fd52,49,49.00,3.78,2,6,4,0.009862,0.609108,pow,pow(difficulty=25_work_amount=33554432),1.76,36,0
7,3,0xd30112d9e8fb890eee1497d58e0796d7099236c5,0.590789,1772353370,9dc948c7645ac8b282fcaae63d37b618bbcc0f5acb08b7d9dd4da8229362a82a,206,68.67,4.64,2,7,5,0.009854,0.609185,pow,pow(difficulty=25_work_amount=33554432),2.41,37,0
