epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,1,0x3d92e045fb1847aae132b40ebfcc471a32f687de,0.557590,1772180806,91a0e52890a8cf3883c54ac929209c51da32490a9f281ba19ecae2f1ea9944d6,1,0.00,1.00,1,1,1,0.145521,0.622870,TopoStake,pog(ntd=0_omega=1.00),0.00,0,0
0,2,0x3d92e045fb1847aae132b40ebfcc471a32f687de,1.557560,1772180808,98d340b86001c7422bb9b9f69cd726b7bab8e8d7f96b1bc6531ff7e91bca2bc4,0,0.00,0.00,0,0,0,0.047731,0.594728,TopoStake,pog(ntd=0_omega=1.00),0.00,1,0
0,3,0x24898fcb116b48cb2b6fd5d3b4eb599fee0f4633,1.944983,1772180810,529d57882190c30822edb6b0db083ce31f43404c3c18b14d581c72c5de327f3a,209,104.50,3.39,1,4,4,0.047438,0.595228,TopoStake,pog(ntd=0_omega=1.00),1.53,2,0
0,4,0x5cd626f4b83428b146919d30f4b3e481d259a9dc,0.041596,1772180812,0faa58cbe78d74c261d4736725ddc0266e18354d6c20d2147df38c357bed2c6c,215,107.50,3.00,1,5,3,0.047406,0.596617,TopoStake,pog(ntd=0_omega=1.00),1.47,3,0
1,0,0x8719ca31b72ae8a5404006763c53d5ad503dbcb0,1.324278,1772180814,086b813cdd75323384987d5370233107cd04118f9169979cea0442a257f26433,194,97.00,3.31,1,4,3,0.046038,0.584842,TopoStake,pog(ntd=1_omega=1.00),1.45,4,0
1,1,0xfb35fdafcfc84561a42700a4a1c274edeb75bdc1,0.901516,1772180816,67f611d35f248870bc2ac6e8eb191bfc0d10d32a671bbd5590c9be196b00c126,185,92.50,3.85,1,5,4,0.045586,0.583543,TopoStake,pog(ntd=1_omega=1.00),1.46,5,0
1,2,0x3d92e045fb1847aae132b40ebfcc471a32f687de,2.557520,1772180818,cb9d3fc7f2e29f39accc2c1b5b00c582239a0fd9174e97486130aa217e6ecd50,190,95.00,3.52,1,5,4,0.044867,0.580022,TopoStake,pog(ntd=1_omega=1.00),1.49,6,0
1,3,0x5cd626f4b83428b146919d30f4b3e481d259a9dc,1.041573,1772180820,66a82e543f0656fc7dddd605951ebf4a6b67eb675ea9a678c10281508e7bb726,177,88.50,3.36,1,4,4,0.045189,0.583387,TopoStake,pog(ntd=1_omega=1.00),1.50,7,0
1,4,0x13f9dadc05f6c237b03411e2aed1800cf21a5d89,0.109035,1772180822,059b21161372cc3a7d4d8068d5edfb0c7fbeb8ac1a812f23683a38223d95721a,168,84.00,3.23,1,4,3,0.044562,0.580045,TopoStake,pog(ntd=1_omega=1.00),1.39,8,0
2,0,0x3d92e045fb1847aae132b40ebfcc471a32f687de,3.557678,1772180824,a63c0b600b9aeeb659d5fb14ea264933c52bc3835fa61333100b0e3d8e1ee35d,203,101.50,2.53,1,4,3,0.043414,0.569965,TopoStake,pog(ntd=2_omega=1.00),1.40,9,0
2,1,0xa7e4d4d949807065ebf85adc1be8c382c7236c15,1.092456,1772180826,bcc5d246b94937b8df8c69594b58e4d763ddba7d06fdff8b6ea0f432411dddd9,172,86.00,3.45,1,4,4,0.044235,0.575552,TopoStake,pog(ntd=2_omega=1.00),1.46,10,0
2,2,0x95ab54d268473cce82094026afefdbd5cadf418b,0.417568,1772180828,34dd78b151a039e51948b5c2997399ed47fcfad75627fe6140737d12ffb6ba99,202,101.00,3.78,1,6,4,0.043653,0.572068,TopoStake,pog(ntd=2_omega=1.00),1.43,11,0
2,3,0xa9a524611994a27dd3134d643379aa14edf7cb39,4.619529,1772180830,5a1f27694edb90377d8ba477c621203cd808b844458e56488ac0bb3873ce8333,202,101.00,3.77,1,6,4,0.042734,0.564871,TopoStake,pog(ntd=2_omega=1.00),1.41,12,0
2,4,0x54f496e5c1d9f95a916cf7f5b62e9c98e64a3dc5,0.344493,1772180832,06951223d96511bfede4a4b600b7e7cb96e81b4f7062683f9f8b3977be43377e,207,103.50,4.10,1,7,4,0.043969,0.571471,TopoStake,pog(ntd=2_omega=1.00),1.48,13,0
3,0,0x786f26993bf015cd2da6fb5d3ccd1879e01246ab,0.613600,1772180834,65765dbf11e980f515851c2893f7c9c2b92018ae032012589c145e1094013375,202,101.00,3.83,1,8,4,0.043019,0.563451,TopoStake,pog(ntd=3_omega=1.00),1.44,14,0
3,1,0x13f9dadc05f6c237b03411e2aed1800cf21a5d89,1.109651,1772180836,ec833027bc7a39dd5014351530cfb03af90ef696ad78f73c951a36837869233f,208,104.00,3.58,1,7,3,0.042233,0.556800,TopoStake,pog(ntd=3_omega=1.00),1.24,15,0
3,2,0x34d94cc0534eb50dec7956bea31407428d6d5ef8,2.856864,1772180838,40225747df4ebbf7242b8ee4ffd9b91a6f343765a7443b59de872331f32d1644,229,114.50,2.79,1,5,3,0.041702,0.552705,TopoStake,pog(ntd=3_omega=1.00),1.14,16,0
3,3,0xac61c91e7d24df824351a6c4e562a75f0cf646f8,2.357359,1772180840,d7ba754d53adff9f5dd2d17d00aef21fa741e7e884e029f8894d1ed920cca159,166,83.00,3.52,1,6,3,0.041963,0.556152,TopoStake,pog(ntd=3_omega=1.00),1.14,17,0
3,4,0x13f9dadc05f6c237b03411e2aed1800cf21a5d89,2.110725,1772180842,15877ce1e66849db7343e0dc5d685106b41022d822aec7f1becfb426f06d45d7,226,113.00,3.08,1,4,3,0.041975,0.557920,TopoStake,pog(ntd=3_omega=1.00),0.93,18,0
4,0,0xac61c91e7d24df824351a6c4e562a75f0cf646f8,3.358415,1772180844,5c83f3142297f04deac02feda293191b0770b86608cb77e2681236381c77dc09,248,124.00,2.71,1,6,3,0.041865,0.558508,TopoStake,pog(ntd=3_omega=1.00),0.74,19,0
4,1,0x34d94cc0534eb50dec7956bea31407428d6d5ef8,3.857580,1772180846,308b63c3dedc89c4732bdebad66a403e0153760ceea9a7df94c88e27db09777b,170,85.00,3.26,1,5,3,0.042254,0.562316,TopoStake,pog(ntd=3_omega=1.00),0.64,20,0
4,2,0x763be7657fec175a3de5f1ee0a506722872c886d,0.234340,1772180848,ecd3de1f19e352c4db0006778ff5e572c136d0fc6af2278a319c997802266feb,185,92.50,3.31,1,5,3,0.042802,0.566786,TopoStake,pog(ntd=3_omega=1.00),0.77,21,0
4,3,0xd46407aa7b668c72de3cf1c1a12b7fa2e308a1b2,2.594806,1772180850,14111679e1bcee8a5f069fb34d690b0b313a637bebdbef16decf5303359e2ddb,202,101.00,3.65,1,5,4,0.041905,0.558051,TopoStake,pog(ntd=3_omega=1.00),0.72,22,0
4,4,0x5cd626f4b83428b146919d30f4b3e481d259a9dc,2.041654,1772180852,a4f11820f83efdc0a5dbb2c36b247f04219aa3f0fd772db05d1da94a71214e3d,194,97.00,3.56,1,5,4,0.041927,0.559305,TopoStake,pog(ntd=3_omega=1.00),0.72,23,0
5,0,0xb7b4ee0a72bc410bf6d32b9cd3f3e11fc756d6f1,1.766281,1772180854,8580f271446a8c49a622536a1c67bc078b23e55e95c7df2fc7face5703d5ac63,212,106.00,3.16,1,4,3,0.041731,0.558870,TopoStake,pog(ntd=3_omega=1.00),0.58,24,0
5,1,0xa9a524611994a27dd3134d643379aa14edf7cb39,5.619596,1772180856,c9fc4a6aec581e93a9a19646d45738a24adf73e9bc6963cfd176ec4e7b113e0e,166,83.00,3.78,1,5,4,0.041432,0.557351,TopoStake,pog(ntd=3_omega=1.00),0.50,25,0
5,2,0x9c39f7fffaa5c5cfab20dfdd05663497918580c1,1.604996,1772180858,16c65ca1b43f2becb24fe59ee10408aafd80574bda589c09750153901c3a49e5,191,95.50,4.07,1,6,4,0.042470,0.562931,TopoStake,pog(ntd=3_omega=1.00),0.64,26,0
5,3,0xac61c91e7d24df824351a6c4e562a75f0cf646f8,4.359124,1772180860,0214aa1001e30e1c0fe793ea31112b3ed5ef79ffd106df222b3d4e38227734ab,210,105.00,3.93,1,5,4,0.042085,0.560538,TopoStake,pog(ntd=3_omega=1.00),0.57,27,0
5,4,0x3d92e045fb1847aae132b40ebfcc471a32f687de,4.558119,1772180862,40fb016a7ec2791fff9eea13c5fa7233ae1aa097a8fb162645ac1b8cd820032e,193,96.50,3.20,1,4,3,0.042612,0.565061,TopoStake,pog(ntd=3_omega=1.00),0.51,28,0
6,0,0xcdfb7a191f0bf929991735127c8d1b4e5b99de22,0.992105,1772180864,8b606e00df3713a205105308aa72ac8ca53ac4b753e377fd89271206f492286a,209,69.67,3.35,1,4,4,0.043162,0.569266,TopoStake,pog(ntd=3_omega=1.00),1.52,29,0
6,1,0xe184aeec69f3313df03bef8752946c65f0a70021,4.196125,1772180866,a2192c65fc4ac3f8893c732d924f4ce10e75051cc426a14f2cd98470683b7298,195,97.50,3.48,1,5,3,0.042557,0.564296,TopoStake,pog(ntd=3_omega=1.00),1.51,30,0
6,2,0x13f9dadc05f6c237b03411e2aed1800cf21a5d89,3.112577,1772180868,daa5dd5b7e547c961dcca12f52875706c41e34261b453eb26b8675d7b76826fc,214,107.00,3.95,1,5,4,0.042945,0.567631,TopoStake,pog(ntd=3_omega=1.00),1.48,31,0
6,3,0x13f9dadc05f6c237b03411e2aed1800cf21a5d89,4.113612,1772180870,c5c626bd29589987b808c68d8c5d8c755668516d536ecad65346759a608e5216,215,107.50,2.55,1,3,3,0.042980,0.569471,TopoStake,pog(ntd=3_omega=1.00),1.53,32,0
6,4,0xcb7977f4997b4252c0152e135dd79b3cfe35c1a5,0.312593,1772180873,1b4733a137aca106e7f9b0faac58ebc4765ba8ddbe65949471b27a8f4efba061,187,93.50,2.59,1,4,3,0.043291,0.572144,TopoStake,pog(ntd=3_omega=1.00),1.48,33,0
7,0,0xd46407aa7b668c72de3cf1c1a12b7fa2e308a1b2,3.595621,1772180875,8da7b89f5846844d1a8944c50fde325fe1b2ae89a7b60e3692bd72a33ff57b5b,206,103.00,3.72,1,5,4,0.042497,0.564374,TopoStake,pog(ntd=3_omega=1.00),1.49,34,0
7,1,0xd46407aa7b668c72de3cf1c1a12b7fa2e308a1b2,4.596651,1772180877,fb0b6f8e4807b6575831fd054ba944ffd13991a25d9d8d8d8cd3f9ad46d93afa,210,105.00,3.46,1,5,4,0.042637,0.566348,TopoStake,pog(ntd=3_omega=1.00),1.45,35,0
7,2,0x0d91704595bff3aec25d40822498a51c62b05e3a,0.285308,1772180879,2238348e1a6a476fe6b7a18e18f065406fd8cd2fa9e40b1e5e36ded5e93dfddc,192,96.00,3.48,1,5,4,0.043031,0.569263,TopoStake,pog(ntd=3_omega=1.00),1.49,36,0
7,3,0x6414c6a8400ff3419cd81855d09de2848d770e0e,0.066198,1772180881,437b99f4b7a8b278bfc20caa8306708c0ecd98c41f0560f6240bb94654e24305,221,110.50,2.73,1,4,3,0.042256,0.561240,TopoStake,pog(ntd=3_omega=1.00),1.51,37,0
7,4,0x3d92e045fb1847aae132b40ebfcc471a32f687de,5.559176,1772180883,df4159a3a18022cc69589610ffd57b24bff1c451ca1eddefa142a8106e74762b,186,93.00,3.54,1,5,4,0.041447,0.551855,TopoStake,pog(ntd=3_omega=1.00),1.51,38,0
8,0,0x6414c6a8400ff3419cd81855d09de2848d770e0e,1.067075,1772180885,fb96cbdce359ee7dcd9446e2ac95b8197376bfc8ee3c71912ee62e70994abb52,183,91.50,3.50,1,4,4,0.042052,0.556212,TopoStake,pog(ntd=3_omega=1.00),1.50,39,0
8,1,0x3d92e045fb1847aae132b40ebfcc471a32f687de,6.560000,1772180887,588283ef337ea448ad6515d24bf8861e72564ee58f79017087de8959cfc3a1c8,201,100.50,3.43,1,5,4,0.041510,0.551551,TopoStake,pog(ntd=3_omega=1.00),1.47,40,0
8,2,0x13f9dadc05f6c237b03411e2aed1800cf21a5d89,5.114734,1772180889,88e8b6a72b4f536deb745a7853e570d8e934429a9c0efc32ea25e610110fe487,201,100.50,3.38,1,6,4,0.042310,0.556249,TopoStake,pog(ntd=3_omega=1.00),1.43,41,0
8,3,0x13f9dadc05f6c237b03411e2aed1800cf21a5d89,6.115744,1772180891,d306966724a1e1849bb159f0207d0393b971537ec3706b085e1e3d24e10114bd,214,107.00,2.66,1,5,3,0.042723,0.559648,TopoStake,pog(ntd=3_omega=1.00),1.19,42,0
8,4,0xc339f8bf978200eb65afce6c7121402eda949097,0.072564,1772180893,2b300c7660318f2d9e12e5a15bbc6c7161bcfa616198408ecfeb85d36661eb60,233,116.50,2.60,1,4,3,0.043341,0.563534,TopoStake,pog(ntd=3_omega=1.00),1.13,43,0
9,0,0x6414c6a8400ff3419cd81855d09de2848d770e0e,2.067902,1772180895,02ad12338fec459dd9fdb697ac0a5581261366f9f774972c9f21bce7a90489f7,170,85.00,4.06,1,6,4,0.042553,0.554348,TopoStake,pog(ntd=3_omega=1.00),1.24,44,0
9,1,0xd39dbd3662315e3935ec08e6b6028e73b3c09de2,3.144299,1772180897,f172f6579e1e433b94880ce73a56a5f334895d58ac6087f4e2349ec209c84b77,250,125.00,3.45,1,5,4,0.042231,0.553174,TopoStake,pog(ntd=3_omega=1.00),1.06,45,0
9,2,0x016d3fc36beee7caa8fbd6c1caa42461dd7f9850,2.141969,1772180899,feb0946183b007d37164735dd4f0b6df3c6ec9482ac2df3f36df7c7886cb767e,202,101.00,3.64,1,8,4,0.042148,0.554305,TopoStake,pog(ntd=3_omega=1.00),0.76,46,0
