epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,1,0xb990cdf21950e6086c350175c4bc504e45858230,0.122918,1772436607,821b8dea0eec223f5a351823f7ad5b9655953348f2f1a8fc4c82820a9b814817,1,0.00,1.00,1,1,1,0.507138,0.059740,pow,pow(difficulty=20_work_amount=1048576),0.00,0,0
0,2,0xf6e059718dbd0a0956726ab97d06bad5efc6cd18,1.016797,1772436614,937b002490be715640d28b14b87f0c0af9d48b6ccffcf341158b9bf318594469,250,27.78,4.05,1,5,4,0.024046,0.594871,pow,pow(difficulty=20_work_amount=1048576),5.21,1,0
0,3,0xac768e60b9269babb15cb1e36ee843243d7c7543,3.718248,1772436616,be43f1276948d238413cbcdaf677c5e73896a7dc464cdf3e3c08da57aa094e46,250,35.71,3.76,1,5,4,0.023871,0.593949,pow,pow(difficulty=20_work_amount=1048576),7.01,2,0
0,4,0x606627477c3734932f47972f83c27cf4e3b35b4f,3.377677,1772436619,d9b3590116b7ff32d107de5b70044fabf90e72e32ed473b0151831ffb24031e0,221,110.50,3.87,1,6,4,0.024206,0.597246,pow,pow(difficulty=20_work_amount=1048576),3.52,3,0
1,0,0x606627477c3734932f47972f83c27cf4e3b35b4f,4.380077,1772436620,ae0b8717c947e252b27cac424a428630c31436fef491364906cda93328e90926,240,120.00,3.67,1,5,4,0.024461,0.600011,pow,pow(difficulty=19_work_amount=524288),1.78,4,0
1,1,0xeaa5003682d7289190651081ae2bee847097afc5,0.762155,1772436622,ac7adad68e45b1e636211eaa644585d5136e13617947f3a1598b8ac3b200b87d,22,22.00,4.00,2,5,4,0.024883,0.603582,pow,pow(difficulty=19_work_amount=524288),1.82,5,0
1,2,0x30509a8084fdfe6fe24d9c9a817c209ad194f8e3,2.656559,1772436624,1168d78d653f435483abe4e507fac4336f3fa25c0e16fd16828cf8ce9cbc1f81,179,89.50,4.40,1,6,5,0.024641,0.601638,pow,pow(difficulty=19_work_amount=524288),1.48,6,0
1,3,0x07902d0371763a00d97ed9ba16ff0a206cb0fd19,2.532089,1772436626,09eba90fbbe633033bd39a91a1e48a66cbc9dbb1edcf2ff7b1d71c4bfeac415d,164,82.00,3.48,1,5,4,0.024735,0.603557,pow,pow(difficulty=19_work_amount=524288),1.46,7,0
1,4,0xe6ebb0cdfd04183d498964e5efc4096ba77b17d6,4.294423,1772436628,4caf87e392ab5ccacba59d0d7642a598549a773451134fb7fa6cbbcbda132ea4,226,75.33,2.70,1,4,3,0.024800,0.605138,pow,pow(difficulty=19_work_amount=524288),2.28,8,0
2,0,0xb2a7fe70a6f3137d38f6cb4c3ec6dd1e24f2d5f4,1.422478,1772436663,4caf87e392ab5ccacba59d0d7642a598549a773451134fb7fa6cbbcbda132ea4,226,75.33,2.70,1,4,3,0.024809,0.605330,pow,pow(difficulty=20_work_amount=1048576),2.28,8,1
2,1,0x016d3fc36beee7caa8fbd6c1caa42461dd7f9850,0.879819,1772436664,cd42fc23f6cfb051476f2b88f075f5115368863143d071482dc91ec8439aa2aa,250,6.94,4.32,1,6,4,0.024680,0.605122,pow,pow(difficulty=20_work_amount=1048576),35.96,9,1
2,2,0xac768e60b9269babb15cb1e36ee843243d7c7543,4.719938,1772436666,52228b2c2c438e4145d394808a0b9ab2f675dfa46acc6408f95a80ce00fe2cbf,24,24.00,3.29,2,5,3,0.024462,0.603349,pow,pow(difficulty=20_work_amount=1048576),28.71,10,1
2,3,0xb2a7fe70a6f3137d38f6cb4c3ec6dd1e24f2d5f4,2.424938,1772436668,e60c5e3b70c64c180c99430025b2f0c100fe867b0168a3e7046f9fe0f5f48b86,198,99.00,3.89,1,6,4,0.024873,0.606736,pow,pow(difficulty=20_work_amount=1048576),1.49,11,1
2,4,0x07902d0371763a00d97ed9ba16ff0a206cb0fd19,3.533859,1772436670,ceff58149ea3429faac492523521dba5f357a7fbdaf57a536ce18fd839f0a802,182,91.00,4.23,1,6,4,0.024898,0.607975,pow,pow(difficulty=20_work_amount=1048576),1.45,12,1
3,0,0xeb82a21cb3d0dd781eb22ad74bb7cd9b4d2a06ec,2.924015,1772436672,ef9396181419a94fa3a6c57b2b843d9797f9e8f329e784e96d2ad75c004be1ca,244,81.33,2.70,1,4,3,0.025092,0.610347,pow,pow(difficulty=21_work_amount=2097152),2.26,13,1
3,1,0xe478b1e4d1538274c0c70cbd7df877f9abab2f62,2.299616,1772436675,ee71e15a684e0e1735171ba3a206273a4b7236733c2a965be76a631dd71da7f3,193,96.50,3.99,1,7,4,0.025182,0.611890,pow,pow(difficulty=21_work_amount=2097152),1.97,14,1
3,2,0xeb82a21cb3d0dd781eb22ad74bb7cd9b4d2a06ec,3.925935,1772436676,e61c46c1b0445ecdbe0469edce20c08679726428aff720b34659007f690b3972,187,93.50,4.37,1,6,4,0.025182,0.611896,pow,pow(difficulty=21_work_amount=2097152),1.71,15,1
