epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,2,0xa7e4d4d949807065ebf85adc1be8c382c7236c15,0.218666,1772636041,5c5f6b37043b9531f11027c20aa55187ea011d6a9e90c86903df0ba1b69ff245,1,0.00,1.00,1,1,1,0.024404,0.600014,Minotaur,minotaur(pow_w:0.50),0.00,0,0
0,3,0xe6ebb0cdfd04183d498964e5efc4096ba77b17d6,4.294543,1772636043,93e1df2d1ec06c82eb37783e8752deb50dd1e911c9eaf3aaa7786c7d7ebe858d,220,44.00,3.94,1,6,4,0.024064,0.595620,Minotaur,minotaur(pow_w:0.50),1.48,1,0
0,4,0xc24b36dee27726233c3bbd9e1f028f98b6b2a424,2.413479,1772636045,acb8a4345a9eaae865252722743c98ad4aa3401d1f820d31954783cd3073a9a0,211,105.50,4.06,1,6,4,0.024519,0.599388,Minotaur,minotaur(pow_w:0.50),1.47,2,0
1,0,0xe478b1e4d1538274c0c70cbd7df877f9abab2f62,2.300266,1772636047,ac7dddef4463077778798aa5fce08adcc75e2ef4d4e89625e8595628e37c3e00,205,102.50,4.02,1,6,4,0.024595,0.601126,Minotaur,minotaur(pow_w:0.50),1.56,3,0
1,1,0xac768e60b9269babb15cb1e36ee843243d7c7543,3.718308,1772636049,4572b40fa9b2631e98869906155e32502c3ad33f1e0c23ba08b0c464ac6851f6,233,116.50,4.08,1,6,4,0.024643,0.602500,Minotaur,minotaur(pow_w:0.50),1.48,4,0
1,2,0x07902d0371763a00d97ed9ba16ff0a206cb0fd19,2.532119,1772636051,4572b40fa9b2631e98869906155e32502c3ad33f1e0c23ba08b0c464ac6851f6,233,116.50,4.08,1,6,4,0.024644,0.602514,Minotaur,minotaur(pow_w:0.50),1.48,4,1
1,3,0x4ba33404d90c4ae989714d9d174cd882cffb7994,1.119242,1772636053,15c8518738460aadf16b380c461db0727d4c75867a00d8f03e6ed02bb5e58866,250,62.50,2.82,1,4,3,0.024728,0.604034,Minotaur,minotaur(pow_w:0.50),3.35,5,1
1,4,0xe478b1e4d1538274c0c70cbd7df877f9abab2f62,3.302516,1772636055,f75e9236fe7951e411334ccaec7dc603966d7310df321d64f9bbe2fccab6d417,160,80.00,4.46,1,6,5,0.024552,0.603299,Minotaur,minotaur(pow_w:0.50),2.09,6,1
2,0,0x89100a8056319ba37491b32ba255004180607bc2,2.787307,1772636057,56c2bc83192a256f5be8635c144e5dfcfae9e7b21c33a50f39959fe7f47741e0,179,89.50,4.26,1,6,4,0.024761,0.605911,Minotaur,minotaur(pow_w:0.50),1.45,7,1
2,1,0xd46407aa7b668c72de3cf1c1a12b7fa2e308a1b2,1.991569,1772636059,50f473ea94fc05dad627baf820c3d20229637976ec2db7f24bd36e68bfd237f5,172,86.00,3.75,1,5,4,0.024869,0.607538,Minotaur,minotaur(pow_w:0.50),1.30,8,1
2,2,0x63f4973c0df8a5358405f396dc0673a463c48de9,3.901177,1772636061,671e49e1f288edda2b313d1f0b6aade33ee42ab3f082a0b65691073290f9ed19,196,98.00,4.02,1,6,4,0.024835,0.608119,Minotaur,minotaur(pow_w:0.50),1.46,9,1
2,3,0xb990cdf21950e6086c350175c4bc504e45858230,0.122718,1772636063,671e49e1f288edda2b313d1f0b6aade33ee42ab3f082a0b65691073290f9ed19,196,98.00,4.02,1,6,4,0.024835,0.608129,Minotaur,minotaur(pow_w:0.50),1.46,9,2
