"epoch","slot","miner","proposer_stake","timestamp","block_hash","tx_count","throughput","avg_path_length","min_path_length","max_path_length","median_path_length","stake_concentration","gini_coefficient","consensus_type","consensus_state","avg_tx_delay_s","block_production_success","block_production_failed"
"0","1","0xe184aeec69f3313df03bef8752946c65f0a70021","0.092147","1773030708","0369a442fd6c08d5b5cf523e5018a448fb3b1e40c8aae5749f93612be653f12f","1","2","1.00","1","1","1","0.035100","0.596898","TopoStake","pog(D=0_omega=1.00_beta=1.00)","0.00","0","0"
"0","2","0xe184aeec69f3313df03bef8752946c65f0a70021","0.092127","1773030710","4c69d746a4a6721109341ab123c9ed12cb26d711b5205be8bdd511b37954365e","0","2","0.00","0","0","0","0.024404","0.600007","TopoStake","pog(D=0_omega=1.00_beta=1.00)","0.00","1","0"
"0","3","0x58a21eeb7ab18ba8adf1296e66a4487076e95dac","4.093124","1773030712","77b116273cd2d37da6f9e59beee2c139ac599d7e8a3df1fbcbf86c0a0b0bfcdd","184","94","4.04","1","6","4","0.023877","0.593825","TopoStake","pog(D=0_omega=1.00_beta=1.00)","1.47","2","0"
"0","4","0xaadc5fea232580cb8fba739ac5d05a48559c7e52","1.356368","1773030714","84f082c0b4edb48abebf9f4920d94aee5c95ba9a0afb828c84a56e224c0f0c5f","214","109","3.88","1","5","4","0.024282","0.597435","TopoStake","pog(D=0_omega=1.00_beta=1.00)","1.46","3","0"
"1","0","0x13f9dadc05f6c237b03411e2aed1800cf21a5d89","0.278387","1773030716","049047088c3266c72477e55be10d76b084baecf23851d95bfd797ec5effc844d","197","100.5","4.33","1","6","4","0.024161","0.597187","TopoStake","pog(D=1_omega=1.00_beta=1.00)","1.50","4","0"
"1","1","0x719361397abe003a91af76243e5f9c7a0cd4279f","3.544194","1773030718","a44118ff7209022b7241f4ed2a9a7e98effb9cf0632c3b620c8804844a82f17c","215","109.5","3.09","1","5","3","0.023844","0.593178","TopoStake","pog(D=1_omega=1.00_beta=1.00)","1.45","5","0"
"1","2","0xd67aaaf210c0c36ddcb7055222d168b5c9dd1b36","0.189268","1773030720","a44118ff7209022b7241f4ed2a9a7e98effb9cf0632c3b620c8804844a82f17c","215","109.5","3.09","1","5","3","0.023844","0.593188","TopoStake","pog(D=1_omega=1.00_beta=1.00)","1.45","5","1"
"1","3","0xcb7977f4997b4252c0152e135dd79b3cfe35c1a5","0.628979","1773030722","bcc1b7d7d2221f606f0ebe7655367947c944b97889400f0eb1567130dd0aeb1b","250","52","3.99","1","5","4","0.023520","0.588498","TopoStake","pog(D=1_omega=1.00_beta=1.00)","4.11","6","1"
"1","4","0xd46407aa7b668c72de3cf1c1a12b7fa2e308a1b2","1.991784","1773030724","f8b3128083f145b271a208792da6683bcd8af80024d25496342b4e09d27001b4","91","93","4.80","1","7","5","0.023280","0.585993","TopoStake","pog(D=1_omega=1.00_beta=1.00)","1.35","7","1"
"2","0","0x13f9dadc05f6c237b03411e2aed1800cf21a5d89","1.278797","1773030726","4030e1b4ec09a26e935759ba68b077529300939aecfb9002abb37e9ca9d51fa7","182","62.67","3.87","1","5","4","0.023278","0.587066","TopoStake","pog(D=2_omega=1.00_beta=1.00)","2.53","8","1"
"2","1","0x1796dc61e715f15a2d27dfa32bd34780f12a8c24","1.724803","1773030728","5a9bebe409147bd7af29657504de8737a003cdc1ffc5d7977bc36659e6c25a4e","171","87.5","3.01","1","5","3","0.023152","0.586458","TopoStake","pog(D=2_omega=1.00_beta=1.00)","2.37","9","1"
"2","2","0x07902d0371763a00d97ed9ba16ff0a206cb0fd19","2.533298","1773030730","5a9bebe409147bd7af29657504de8737a003cdc1ffc5d7977bc36659e6c25a4e","171","87.5","3.01","1","5","3","0.023153","0.586469","TopoStake","pog(D=2_omega=1.00_beta=1.00)","2.37","9","2"
