epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,2,0xe184aeec69f3313df03bef8752946c65f0a70021,0.092107,1773028688,7478a9e1b2cfd2c8aae9fae525248f1a4f1268b72503f976b8f678c476829442,1,0.00,1.00,1,1,1,0.024404,0.600010,TopoStake,pog(D=0_omega=1.00_beta=1.00),0.00,0,0
0,3,0x13f9dadc05f6c237b03411e2aed1800cf21a5d89,0.278042,1773028690,5947041a780a4e6adab1bdd078d9f6f3d13455a1f63f4d18b290e94e5fb4a315,181,36.20,3.95,1,5,4,0.024040,0.594559,TopoStake,pog(D=0_omega=1.00_beta=1.00),1.50,1,0
0,4,0x58a21eeb7ab18ba8adf1296e66a4487076e95dac,4.093204,1773028692,4c94a260f20844b8c4dde7ad8d438bdeb07bdea32eb48b9759b0d3e53eff8835,203,101.50,2.97,1,4,3,0.023721,0.590501,TopoStake,pog(D=0_omega=1.00_beta=1.00),1.51,2,0
1,0,0x4414c05be2cf328f38d2e3ef4b705d6b894f044a,2.089668,1773028694,151ce4c5d9c9732bad210982385df18ba84f040202b20166e2c090b83b58c314,186,93.00,3.99,1,5,4,0.024129,0.594140,TopoStake,pog(D=1_omega=1.00_beta=1.00),1.48,3,0
1,1,0x07902d0371763a00d97ed9ba16ff0a206cb0fd19,2.532549,1773028696,151ce4c5d9c9732bad210982385df18ba84f040202b20166e2c090b83b58c314,186,93.00,3.99,1,5,4,0.024129,0.594151,TopoStake,pog(D=1_omega=1.00_beta=1.00),1.48,3,1
1,2,0x30509a8084fdfe6fe24d9c9a817c209ad194f8e3,2.656738,1773028698,151ce4c5d9c9732bad210982385df18ba84f040202b20166e2c090b83b58c314,186,93.00,3.99,1,5,4,0.024130,0.594160,TopoStake,pog(D=1_omega=1.00_beta=1.00),1.48,3,2
1,3,0xf13caa2c5f6f6cf61e51290bfa7826a9140b4faf,0.046895,1773028700,5f7ea0ee9e728931b2e4c7409e2f81c715bea8f00d2301d9c37eb5f204068d83,250,41.67,3.51,1,7,4,0.024252,0.596244,TopoStake,pog(D=1_omega=1.00_beta=1.00),5.21,4,2
1,4,0x30509a8084fdfe6fe24d9c9a817c209ad194f8e3,3.656897,1773028702,be3bcec0d7d4c1fb8e992a8b13c032b51d98ec91e9a57f97794df96b7206188f,91,45.50,4.86,1,7,5,0.023892,0.590211,TopoStake,pog(D=1_omega=1.00_beta=1.00),2.25,5,2
2,0,0x13f9dadc05f6c237b03411e2aed1800cf21a5d89,1.278357,1773028704,7ef3fd4ff20b0e4293264d1089dcf7abd5553f06791ab6ed0d605154d1e35ba2,162,81.00,4.07,1,6,4,0.024183,0.593272,TopoStake,pog(D=2_omega=1.00_beta=1.00),1.54,6,2
2,1,0x30509a8084fdfe6fe24d9c9a817c209ad194f8e3,4.656923,1773028706,22c20c3bf4cbf5de816bbf7b9ba08e95146025661cb55fee569075b2dded8262,154,77.00,3.31,1,6,3,0.024044,0.593033,TopoStake,pog(D=2_omega=1.00_beta=1.00),1.42,7,2
