epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,1,0x63f4973c0df8a5358405f396dc0673a463c48de9,3.901297,1772619074,3209ca526c3bd979b95fb2b2f917d029306b8632d9104e7fd19e8bcd11c7a8c2,1,0.00,1.00,1,1,1,0.032918,0.583891,POS,pos,0.00,0,0
0,2,0xd46407aa7b668c72de3cf1c1a12b7fa2e308a1b2,1.991689,1772619076,330d27ee438e56c444ea1f1945311f3a4df11f107b0cd2ffe0ba7779b9b94fcb,0,0.00,0.00,0,0,0,0.024786,0.603477,POS,pos,0.00,1,0
0,3,0x89100a8056319ba37491b32ba255004180607bc2,2.787477,1772619078,98fa4e10b30255efc523c1dbc93513096d8307b8068fce01602fa1b8fa52b824,239,119.50,3.74,1,6,4,0.024783,0.604549,POS,pos,1.52,2,0
0,4,0x63f4973c0df8a5358405f396dc0673a463c48de9,4.901217,1772619080,a1b34298c623fb8fe1b5f1d228907350e61c287c5d67c604bdbd42714d51d626,206,103.00,3.80,1,5,4,0.024925,0.606691,POS,pos,1.50,3,0
1,0,0x016d3fc36beee7caa8fbd6c1caa42461dd7f9850,0.880339,1772619082,fb5975456d70ddf5b590818a5fdce6e94aecead16c59f6a1af04be283231e3df,185,92.50,3.59,1,5,4,0.025448,0.610394,POS,pos,1.41,4,0
1,1,0xb2a7fe70a6f3137d38f6cb4c3ec6dd1e24f2d5f4,1.422998,1772619084,1e6e0b97a16e49c52f41966ae71cc3aa246beb3d6914bbd93b4df93bc07959e9,205,102.50,3.11,1,5,3,0.025216,0.608951,POS,pos,1.48,5,0
1,2,0xf82400c4f426bdbd2bc687ffef1f22c1a381c851,0.065711,1772619086,6508d9c93034472457c1e6abb107697cc309920c9bcb01787759ba7530f778fd,157,78.50,5.45,1,8,6,0.025086,0.608715,POS,pos,1.54,6,0
1,3,0x4414c05be2cf328f38d2e3ef4b705d6b894f044a,2.089639,1772619088,2c600c86278497eb599fb13a9d27fef440e88fd2fccb2a54e65b67ba6de3ca3d,133,66.50,4.27,1,6,4,0.024718,0.603179,POS,pos,1.54,7,0
1,4,0x49b57eb4dace37c8819daf079c9c674f766d4f38,1.231970,1772619090,2c600c86278497eb599fb13a9d27fef440e88fd2fccb2a54e65b67ba6de3ca3d,133,66.50,4.27,1,6,4,0.024718,0.603190,POS,pos,1.54,7,1
2,0,0x49b57eb4dace37c8819daf079c9c674f766d4f38,2.234460,1772619092,22044355eea626df9ddd83cd34ebc5b901eaf72c7dee7b8928bcb8b7956f6a5f,250,62.50,4.16,1,7,4,0.024560,0.602449,POS,pos,2.87,8,1
2,1,0x26d553a2f4343b3a7dc88bbd87b3d0a25d3838d9,3.219310,1772619094,4bde49e048c0b26a5dfcfe4c405cfba3ea5066f454535ae16ad6d18804f823e9,161,80.50,4.25,1,7,4,0.024572,0.603556,POS,pos,1.90,9,1
2,2,0xf82400c4f426bdbd2bc687ffef1f22c1a381c851,1.066991,1772619096,4bde49e048c0b26a5dfcfe4c405cfba3ea5066f454535ae16ad6d18804f823e9,161,80.50,4.25,1,7,4,0.024573,0.603568,POS,pos,1.90,9,2
2,3,0xdcf2130496e27a8094ab996aea4aa77788d65869,4.505727,1772619098,4bde49e048c0b26a5dfcfe4c405cfba3ea5066f454535ae16ad6d18804f823e9,161,80.50,4.25,1,7,4,0.024573,0.603576,POS,pos,1.90,9,3
2,4,0x58a21eeb7ab18ba8adf1296e66a4487076e95dac,4.093154,1772619100,4bde49e048c0b26a5dfcfe4c405cfba3ea5066f454535ae16ad6d18804f823e9,161,80.50,4.25,1,7,4,0.024574,0.603586,POS,pos,1.90,9,4
3,0,0xb2a7fe70a6f3137d38f6cb4c3ec6dd1e24f2d5f4,2.424328,1772619102,4bde49e048c0b26a5dfcfe4c405cfba3ea5066f454535ae16ad6d18804f823e9,161,80.50,4.25,1,7,4,0.024574,0.603597,POS,pos,1.90,9,5
3,1,0x0d91704595bff3aec25d40822498a51c62b05e3a,0.571146,1772619104,4bde49e048c0b26a5dfcfe4c405cfba3ea5066f454535ae16ad6d18804f823e9,161,80.50,4.25,1,7,4,0.024575,0.603607,POS,pos,1.90,9,6
3,2,0xd39dbd3662315e3935ec08e6b6028e73b3c09de2,0.923400,1772619106,50141c2557390674bae9f19ff696059d84875062209be169624b902080aa1409,250,20.83,3.42,1,5,3,0.024307,0.600961,POS,pos,10.76,10,6
3,3,0x58a21eeb7ab18ba8adf1296e66a4487076e95dac,4.093134,1772619108,a496e603b4fe4ad25ed1bda0f405cbf8b1b12f2b6d3d870278145acabf7ac2c9,141,70.50,4.85,1,7,5,0.024102,0.599273,POS,pos,4.76,11,6
3,4,0xc24b36dee27726233c3bbd9e1f028f98b6b2a424,2.413239,1772619110,5ecc8e419ec44d1995fe2077eb00b45798f2eaae5a7489e854dd5874d09bc80b,198,99.00,3.96,1,6,4,0.024407,0.602375,POS,pos,1.20,12,6
4,0,0xac61c91e7d24df824351a6c4e562a75f0cf646f8,0.252268,1772619112,5ecc8e419ec44d1995fe2077eb00b45798f2eaae5a7489e854dd5874d09bc80b,198,99.00,3.96,1,6,4,0.024408,0.602383,POS,pos,1.20,12,7
4,1,0x6064b9f5883bf9737dfe314ff68c56e09e68ac89,2.192279,1772619114,686f7807d7282833a10d74ba7c2ba0d471ec4eb31b48b1aaae1d21a1b14197ff,250,50.00,3.90,1,6,4,0.024095,0.598247,POS,pos,3.18,13,7
4,2,0x4414c05be2cf328f38d2e3ef4b705d6b894f044a,2.089609,1772619116,686f7807d7282833a10d74ba7c2ba0d471ec4eb31b48b1aaae1d21a1b14197ff,250,50.00,3.90,1,6,4,0.024096,0.598256,POS,pos,3.18,13,8
4,3,0x719361397abe003a91af76243e5f9c7a0cd4279f,3.543856,1772619118,30da39ade7374e56513a32332c72ff3c1b54ac01d673a576151155b898d03d2b,250,62.50,4.24,1,8,4,0.024074,0.598951,POS,pos,3.40,14,8
4,4,0x89100a8056319ba37491b32ba255004180607bc2,3.789207,1772619120,30da39ade7374e56513a32332c72ff3c1b54ac01d673a576151155b898d03d2b,250,62.50,4.24,1,8,4,0.024075,0.598964,POS,pos,3.40,14,9
5,0,0xb2a7fe70a6f3137d38f6cb4c3ec6dd1e24f2d5f4,2.424248,1772619122,30da39ade7374e56513a32332c72ff3c1b54ac01d673a576151155b898d03d2b,250,62.50,4.24,1,8,4,0.024075,0.598974,POS,pos,3.40,14,10
5,1,0xdcf2130496e27a8094ab996aea4aa77788d65869,4.505697,1772619125,dd7a2f3bf9b00f83530fc9d8fdc9f6f86487d543f5859bc4228e35c5490e861f,250,41.67,4.63,1,8,4,0.024101,0.600080,POS,pos,5.10,15,10
5,2,0x26d553a2f4343b3a7dc88bbd87b3d0a25d3838d9,3.219190,1772619126,4af8722dce4cf7176afdc352b00ec5ff43195b52e1f902e7c81f8b3ae1080973,147,73.50,4.04,1,6,4,0.024432,0.603139,POS,pos,1.59,16,10
5,3,0x49b57eb4dace37c8819daf079c9c674f766d4f38,3.235810,1772619128,c911a30fc892ed01a2f021f471bf5a72a62e8419156a363d0b4dd12accb798f9,79,79.00,3.85,1,5,4,0.024561,0.605298,POS,pos,1.06,17,10
5,4,0x63f4973c0df8a5358405f396dc0673a463c48de9,5.902797,1772619130,58e5d980cb79f2e67d371f4ba2e1895cabba6eb24ad3e19d219c3ece1421126d,164,82.00,4.06,1,6,4,0.024683,0.607273,POS,pos,1.57,18,10
6,0,0x30405867b72597aaeb27803bb2c7f3f5fc7d5384,0.518664,1772619132,58e5d980cb79f2e67d371f4ba2e1895cabba6eb24ad3e19d219c3ece1421126d,164,82.00,4.06,1,6,4,0.024684,0.607283,POS,pos,1.57,18,11
6,1,0x34412315480562da4810040fd15c81f99880e1ab,1.898073,1772619134,c3be98c1ea40e60aaf30de2556edf4098b6e3615626991fa7aebaaa35b0ae0a3,250,62.50,3.82,1,6,4,0.024415,0.604251,POS,pos,5.60,19,11
6,2,0x58a21eeb7ab18ba8adf1296e66a4487076e95dac,5.094994,1772619136,365577358f9b506049a494e192a35c9f3349f788f8105f2efe2670dc6027403c,154,77.00,4.25,1,6,4,0.024343,0.604371,POS,pos,2.40,20,11
6,3,0x30509a8084fdfe6fe24d9c9a817c209ad194f8e3,2.656419,1772619138,365577358f9b506049a494e192a35c9f3349f788f8105f2efe2670dc6027403c,154,77.00,4.25,1,6,4,0.024343,0.604379,POS,pos,2.40,20,12
6,4,0x9c39f7fffaa5c5cfab20dfdd05663497918580c1,0.427698,1772619140,0a336446600b62b5ae32c87cf1df4c816b1a0d6ca7528b9fd5b8ec53539ec073,250,62.50,3.98,1,6,4,0.024375,0.605420,POS,pos,2.82,21,12
7,0,0xbc3f8508d26048f2064aa8c068f4c94d08d77d18,3.067949,1772619142,25d29e57125611548850918dc77787929298dd83fac31e25582a5229ed99992c,132,66.00,4.35,1,6,4,0.024101,0.602021,POS,pos,1.71,22,12
7,1,0x1cb1274c711a6c2e4e1596846e6ac604eeefb358,0.407631,1772619144,ffd29baec0151d799f0d80c969f0b814555dfa39f971d32c3e6147642e95a9a3,142,71.00,4.34,1,6,4,0.024183,0.603538,POS,pos,1.48,23,12
7,2,0x58a21eeb7ab18ba8adf1296e66a4487076e95dac,5.094994,1772619146,a3dc8532e89988d7fda20681494488eedbb4d186f834080fb0296cadbf02187e,107,53.50,4.08,1,6,4,0.023913,0.599980,POS,pos,1.45,24,12
7,3,0x1cb1274c711a6c2e4e1596846e6ac604eeefb358,1.408671,1772619148,a3dc8532e89988d7fda20681494488eedbb4d186f834080fb0296cadbf02187e,107,53.50,4.08,1,6,4,0.023913,0.599991,POS,pos,1.45,24,13
7,4,0xd39dbd3662315e3935ec08e6b6028e73b3c09de2,1.924430,1772619150,f1c07fb425d0027851d287b5faa53045b3c37b0b5e7fe0357663d569099a7971,238,59.50,4.21,1,6,4,0.023777,0.599255,POS,pos,2.56,25,13
8,0,0x49b57eb4dace37c8819daf079c9c674f766d4f38,4.237170,1772619152,23af3b056a98f64fe2485ffc7c8a04bcc64e307aea8abdc4bd71a8f4f744d126,126,63.00,4.25,1,7,4,0.023707,0.599158,POS,pos,1.53,26,13
8,1,0x016d3fc36beee7caa8fbd6c1caa42461dd7f9850,1.881629,1772619154,23af3b056a98f64fe2485ffc7c8a04bcc64e307aea8abdc4bd71a8f4f744d126,126,63.00,4.25,1,7,4,0.023707,0.599166,POS,pos,1.53,26,14
8,2,0xd1cd4b808ce6b2841ad42746b64c5a047e857ef0,0.239914,1772619156,4a0c5bf4244f4ebbfb6729407629c3c6e776f9d4742cd6487e5fb04cf8a9aa37,248,62.00,3.42,1,5,3,0.023631,0.598875,POS,pos,2.53,27,14
8,3,0xdcf2130496e27a8094ab996aea4aa77788d65869,5.506927,1772619158,d3989abcee91eb45722559cd3ba5e91772bf71230fb528e9ce2026fb0145b92d,128,64.00,3.93,1,6,4,0.023354,0.594669,POS,pos,1.41,28,14
8,4,0x6064b9f5883bf9737dfe314ff68c56e09e68ac89,2.192129,1772619160,732d1c461253a9c596428070138521a6d11b5306674ca759fc3bb625e6f7a60b,133,66.50,4.04,1,6,4,0.023716,0.597685,POS,pos,1.41,29,14
9,0,0xd39dbd3662315e3935ec08e6b6028e73b3c09de2,2.925610,1772619162,bee99281211187bd7d5ca5b576065bc0f70b3175509317ba5e87d5fe3d2fab0a,127,63.50,4.82,1,7,5,0.023671,0.597718,POS,pos,1.46,30,14
9,1,0x89100a8056319ba37491b32ba255004180607bc2,3.788787,1772619164,4e0088010849c41cc69dddfec22fa77a1296f557cf149cdba56727d08667ab74,138,69.00,4.80,1,7,5,0.023711,0.598820,POS,pos,1.49,31,14
9,2,0xd39dbd3662315e3935ec08e6b6028e73b3c09de2,3.926930,1772619166,df16042c57dc9949f6787d0e8493578b583b6e9e617ff4a05a167b71a9122c39,154,77.00,3.79,1,8,4,0.023846,0.600926,POS,pos,1.23,32,14
9,3,0x4a217e35f6402e7f62a49f6d62e27c6585c2f3fd,1.492577,1772619168,daec37a0bca2f7cb3c990bcdd6cc0affff770d2d80e52c3abd7ee270a0d15094,135,67.50,5.07,1,7,6,0.023990,0.602996,POS,pos,1.36,33,14
9,4,0xbc3f8508d26048f2064aa8c068f4c94d08d77d18,4.069179,1772619170,8fe66cb02723ef437bbb98852a574a31220be51447008bb66b73515c9d470f11,140,70.00,4.76,1,7,5,0.023856,0.602079,POS,pos,1.34,34,14
10,0,0x606627477c3734932f47972f83c27cf4e3b35b4f,3.377447,1772619172,8fe66cb02723ef437bbb98852a574a31220be51447008bb66b73515c9d470f11,140,70.00,4.76,1,7,5,0.023856,0.602086,POS,pos,1.34,34,15
10,1,0x9ba702916c26a8583a7f277d6932b3c0d9927ce0,0.198027,1772619174,8fe66cb02723ef437bbb98852a574a31220be51447008bb66b73515c9d470f11,140,70.00,4.76,1,7,5,0.023856,0.602094,POS,pos,1.34,34,16
10,2,0xa3786e459f289a76c0e8af8ad834e3d0c6d47199,4.726783,1772619176,8fe66cb02723ef437bbb98852a574a31220be51447008bb66b73515c9d470f11,140,70.00,4.76,1,7,5,0.023857,0.602102,POS,pos,1.34,34,17
10,3,0x89100a8056319ba37491b32ba255004180607bc2,4.790127,1772619178,d9dc22f1abfb4d2a63bdc0fbed0be81239ae500a62c56c19e660d186894fd5fb,66,7.33,4.52,1,6,5,0.024079,0.604595,POS,pos,2.45,35,17
10,4,0x63f4973c0df8a5358405f396dc0673a463c48de9,5.902517,1772619181,a0f9d9406c685285e9877eb7b42e2085e872766ab8139f37ce70f40b4018bb75,250,125.00,4.17,1,7,4,0.024299,0.606945,POS,pos,9.55,36,17
11,0,0xa3786e459f289a76c0e8af8ad834e3d0c6d47199,5.727383,1772619183,612aae3bf6bea6b16dfe6ff3d358efd31db1f79359a8361cb4494df1650335a8,213,106.50,3.97,1,8,4,0.024629,0.609666,POS,pos,2.42,37,17
11,1,0x1796dc61e715f15a2d27dfa32bd34780f12a8c24,1.723911,1772619185,612aae3bf6bea6b16dfe6ff3d358efd31db1f79359a8361cb4494df1650335a8,213,106.50,3.97,1,8,4,0.024630,0.609673,POS,pos,2.42,37,18
11,2,0x49b57eb4dace37c8819daf079c9c674f766d4f38,4.236910,1772619187,83f05a08139007d4bb90f3f07e885b2f7af5b0dbac932ea7a9f07602f585b19a,250,62.50,3.61,1,6,4,0.024508,0.608868,POS,pos,2.70,38,18
11,3,0xe478b1e4d1538274c0c70cbd7df877f9abab2f62,2.299156,1772619189,83f05a08139007d4bb90f3f07e885b2f7af5b0dbac932ea7a9f07602f585b19a,250,62.50,3.61,1,6,4,0.024508,0.608877,POS,pos,2.70,38,19
11,4,0xac768e60b9269babb15cb1e36ee843243d7c7543,3.718148,1772619191,53159762e090c851692048f3c55b22041d6aa84e0d360a41a0996e669d5c74cb,250,62.50,4.16,1,6,4,0.024508,0.608884,POS,pos,2.61,39,19
12,0,0x49b57eb4dace37c8819daf079c9c674f766d4f38,4.236910,1772619193,53159762e090c851692048f3c55b22041d6aa84e0d360a41a0996e669d5c74cb,250,62.50,4.16,1,6,4,0.024447,0.608718,POS,pos,2.61,39,20
12,1,0x63f4973c0df8a5358405f396dc0673a463c48de9,6.904627,1772619195,53159762e090c851692048f3c55b22041d6aa84e0d360a41a0996e669d5c74cb,250,62.50,4.16,1,6,4,0.024448,0.608731,POS,pos,2.61,39,21
12,2,0xdcf2130496e27a8094ab996aea4aa77788d65869,6.508067,1772619197,53159762e090c851692048f3c55b22041d6aa84e0d360a41a0996e669d5c74cb,250,62.50,4.16,1,6,4,0.024448,0.608739,POS,pos,2.61,39,22
12,3,0xdcf2130496e27a8094ab996aea4aa77788d65869,6.508067,1772619199,53159762e090c851692048f3c55b22041d6aa84e0d360a41a0996e669d5c74cb,250,62.50,4.16,1,6,4,0.024448,0.608746,POS,pos,2.61,39,23
12,4,0x58a21eeb7ab18ba8adf1296e66a4487076e95dac,5.094784,1772619201,53159762e090c851692048f3c55b22041d6aa84e0d360a41a0996e669d5c74cb,250,62.50,4.16,1,6,4,0.024449,0.608753,POS,pos,2.61,39,24
